circuit,vector_seed,vectors,budget,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
adder,7089,64,0.05,2880.0,2178.0,2880.0,1.0,False,mass_balance
adder,7089,64,0.1,5760.0,4317.0,5760.0,1.0,False,mass_balance
adder,7089,64,0.2,11456.0,8556.0,11456.0,1.0,False,mass_balance
arbiter,7089,64,0.05,18199.0,18133.0,21625.0,0.8415722543352601,False,pdom_dist
arbiter,7089,64,0.1,26959.0,24941.0,28675.0,0.940156931124673,False,pdom_dist
arbiter,7089,64,0.2,31281.0,30834.0,31695.0,0.9869380028395646,False,pdom_dist
bar,7089,64,0.05,8128.0,8128.0,8180.0,0.993643031784841,False,pdom_dist
bar,7089,64,0.1,14683.0,14683.0,14683.0,1.0,False,pdom_dist
bar,7089,64,0.2,20104.0,20090.0,20169.0,0.9967772323863354,False,pdom_dist
cavlc,7089,64,0.05,1070.0,1070.0,1310.0,0.816793893129771,False,pdom_dist
cavlc,7089,64,0.1,1592.0,1424.0,1746.0,0.9117983963344788,False,pdom_dist
cavlc,7089,64,0.2,2031.0,1872.0,2167.0,0.9372404245500692,False,pdom_dist
ctrl,7089,64,0.05,576.0,576.0,576.0,1.0,False,pdom_dist
ctrl,7089,64,0.1,1065.0,1065.0,1088.0,0.9788602941176471,False,pdom_dist
ctrl,7089,64,0.2,1708.0,1708.0,1967.0,0.8683274021352313,False,pdom_dist
dec,7089,64,0.05,192.0,192.0,192.0,1.0,False,index_mid
dec,7089,64,0.1,320.0,320.0,320.0,1.0,False,index_mid
dec,7089,64,0.2,640.0,640.0,640.0,1.0,False,index_mid
div,7089,64,0.05,43006.0,16484.0,56688.0,0.7586438046852949,False,inv_depth
div,7089,64,0.1,52655.0,22577.0,64939.0,0.8108378632254886,False,inv_depth
div,7089,64,0.2,55586.0,34279.0,67356.0,0.825256844230655,False,inv_depth
hyp,7089,64,0.05,585082.0,383513.0,680969.0,0.8591903596198945,False,index_mid
hyp,7089,64,0.1,1159665.0,487478.0,1349315.0,0.8594472009871675,False,index_mid
hyp,7089,64,0.2,1937515.0,638620.0,2629439.0,0.736854895664056,False,index_mid
i2c,7089,64,0.05,4352.0,4352.0,4352.0,1.0,False,pdom_dist
i2c,7089,64,0.1,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,7089,64,0.2,13455.0,13455.0,13848.0,0.9716204506065858,False,pdom_dist
int2float,7089,64,0.05,331.0,331.0,358.0,0.9245810055865922,False,pdom_dist
int2float,7089,64,0.1,525.0,525.0,570.0,0.9210526315789473,False,pdom_dist
int2float,7089,64,0.2,779.0,743.0,833.0,0.9351740696278511,False,pdom_dist
log2,7089,64,0.05,67631.0,30278.0,98861.0,0.6841019208788096,False,sink_reach_near_pr
log2,7089,64,0.1,112290.0,48162.0,177917.0,0.6311369908440453,False,sink_reach_near_pr
log2,7089,64,0.2,183772.0,86979.0,289810.0,0.6341120044166868,False,sink_reach_near_pr
max,7089,64,0.05,4484.0,4484.0,8359.0,0.5364278023687044,False,pdom_dist
max,7089,64,0.1,8589.0,8444.0,16533.0,0.5195064416621303,False,pdom_dist
max,7089,64,0.2,13819.0,8980.0,30467.0,0.45357271802277876,False,pdom_dist
mem_ctrl,7089,64,0.05,131369.0,131369.0,143225.0,0.9172211555245243,False,pdom_dist
mem_ctrl,7089,64,0.1,194903.0,193465.0,217593.0,0.8957227484340029,False,pdom_dist
mem_ctrl,7089,64,0.2,233207.0,225510.0,252265.0,0.9244524607060036,False,pdom_dist
multiplier,7089,64,0.05,53837.0,29427.0,85758.0,0.6277781664684344,False,pdom_dist
multiplier,7089,64,0.1,92946.0,48560.0,163576.0,0.5682129407737077,False,pdom_dist
multiplier,7089,64,0.2,155170.0,81066.0,277288.0,0.5595986844003347,False,pdom_dist
priority,7089,64,0.05,1549.0,1451.0,2191.0,0.7069831127339115,False,wl3_common_dist
priority,7089,64,0.1,2899.0,2516.0,4015.0,0.7220423412204234,False,wl3_common_dist
priority,7089,64,0.2,5339.0,5092.0,7292.0,0.7321722435545803,False,wl3_common_dist
router,7089,64,0.05,383.0,257.0,570.0,0.6719298245614035,False,pdom_dist
router,7089,64,0.1,556.0,471.0,741.0,0.7503373819163293,False,pdom_dist
router,7089,64,0.2,650.0,591.0,796.0,0.8165829145728644,False,pdom_dist
sin,7089,64,0.05,13556.0,8001.0,17280.0,0.7844907407407408,False,mass_balance
sin,7089,64,0.1,25958.0,14679.0,34510.0,0.7521877716603883,False,mass_balance
sin,7089,64,0.2,46918.0,28348.0,65839.0,0.7126171418156412,False,mass_balance
sqrt,7089,64,0.05,8175.0,2315.0,16526.0,0.4946750574851749,False,role_depth_resonance_idx_inv_dist
sqrt,7089,64,0.1,17407.0,5095.0,25214.0,0.6903704291266757,False,role_depth_resonance_idx_inv_dist
sqrt,7089,64,0.2,27197.0,10622.0,35174.0,0.7732131688178768,False,role_depth_resonance_idx_inv_dist
square,7089,64,0.05,50893.0,45305.0,58752.0,0.8662343409586056,False,mass_balance
square,7089,64,0.1,97658.0,85867.0,117504.0,0.8311036220043573,False,mass_balance
square,7089,64,0.2,190863.0,163940.0,234509.0,0.8138834756875003,False,mass_balance
voter,7089,64,0.05,10018.0,8459.0,17126.0,0.5849585425668574,False,index_mid
voter,7089,64,0.1,19241.0,17565.0,30803.0,0.6246469499724053,False,index_mid
voter,7089,64,0.2,36809.0,36763.0,53182.0,0.6921326764694822,False,index_mid
