circuit,vector_seed,vectors,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed,seconds,chosen_family
adder,7089,64,1.0,0,0.8566299645665219,0.8364883677322573,0.8761055018880612,0.8566299645665219,True,0.5604873999982374,mass_balance
arbiter,7089,64,0.9228890627664992,0,0.12905071741740864,0.1147961538589952,0.1439516820292869,0.5,True,0.08470590000797529,pdom_dist
bar,7089,64,0.9968067547237255,0,0.22490514252285837,0.20199190304380832,0.24887517603053863,0.5,True,0.06206600001314655,pdom_dist
cavlc,7089,64,0.8886109046714397,0,0.15495836000572352,0.10061271136440743,0.216327018600249,0.5,True,0.03502560000924859,pdom_dist
ctrl,7089,64,0.9490625654176261,0,0.4884684652602639,0.39326149560753526,0.5884656705950468,0.5,True,0.02632429999357555,pdom_dist
dec,7089,64,1.0,0,1.0,1.0,1.0,1.0,True,0.020447500006412156,index_mid
div,7089,64,0.7982461707138129,0,0.12146027235689362,0.11208511026547296,0.13092798249064191,0.5,True,5.347738099997514,inv_depth
hyp,7089,64,0.818497485423706,0,0.43277728403397336,0.42904278552264113,0.43643742522009243,0.5,True,5522.432205399993,index_mid
i2c,7089,64,0.9905401502021952,0,0.2806790643566424,0.24165793323485518,0.3220997639108359,0.5,True,0.04849830000603106,pdom_dist
int2float,7089,64,0.9269359022644635,0,0.20636030117231643,0.12603791766633146,0.3109639968895526,0.5,True,0.028025999999954365,pdom_dist
log2,7089,64,0.6497836387131806,0,0.25176488200618935,0.24417489108885904,0.2599509392654569,0.5,True,22.855151199997636,sink_reach_near_pr
max,7089,64,0.5031689873512045,0,0.20046318307086264,0.16980776719004403,0.23282095816968357,0.5,True,0.058546499989461154,pdom_dist
mem_ctrl,7089,64,0.912465454888177,0,0.13849863777029106,0.1321741629457051,0.145093957159485,0.5,True,0.3232521000027191,pdom_dist
multiplier,7089,64,0.585196597214159,0,0.2722023677432745,0.263378746753632,0.28105931213421836,0.5,True,0.8046243999851868,pdom_dist
priority,7089,64,0.7203992325029718,0,0.3540415644336063,0.29909118315290273,0.40810056096696784,0.5,True,0.04070500000671018,wl3_common_dist
router,7089,64,0.7462833736835324,0,0.12676430793192234,0.037266381389629205,0.2430074687427239,0.5,True,0.02746379999734927,pdom_dist
sin,7089,64,0.7497652180722567,0,0.3445016542843585,0.3233971495760424,0.3679554641799675,0.5,True,0.4482579000032274,mass_balance
sqrt,7089,64,0.6527528851432425,0,0.17406404343920873,0.1630037472939479,0.18514640035570354,0.5,True,12.280013899988262,role_depth_resonance_idx_inv_dist
square,7089,64,0.8370738128834877,0,0.7086857096293758,0.6995550843156352,0.7183506532169868,0.7086857096293758,True,0.4078746999875875,mass_balance
voter,7089,64,0.633912723002915,0,0.39149144941889824,0.37994078421057426,0.40308513137904517,0.5,True,1.1908046000025934,index_mid
