circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
bar,7089,128,0.2,cache_structural_only,19076.0,39326.0,39500.0,0.4829367088607595,True,pdom_dist
bar,7089,128,0.05,structural_family_only,9021.0,15463.0,16311.0,0.5530623505609711,True,pdom_dist
bar,7089,128,0.1,structural_family_only,11675.0,28736.0,28736.0,0.4062847995545657,True,pdom_dist
bar,7089,128,0.2,structural_family_only,18430.0,39326.0,39500.0,0.46658227848101264,True,pdom_dist
cavlc,7089,128,0.05,segr_structure_derived_selector,2088.0,2088.0,2488.0,0.8392282958199357,False,pdom_dist
cavlc,7089,128,0.1,segr_structure_derived_selector,3038.0,2810.0,3300.0,0.9206060606060606,False,pdom_dist
cavlc,7089,128,0.2,segr_structure_derived_selector,3750.0,3512.0,3979.0,0.9424478512188992,False,pdom_dist
cavlc,7089,128,0.05,no_gnn,1996.0,2088.0,2488.0,0.8022508038585209,True,pdom_dist
cavlc,7089,128,0.1,no_gnn,2919.0,2810.0,3300.0,0.8845454545454545,False,pdom_dist
cavlc,7089,128,0.2,no_gnn,3338.0,3512.0,3979.0,0.8389042472983161,True,pdom_dist
cavlc,7089,128,0.05,gnn_only,1385.0,2088.0,2488.0,0.5566720257234726,True,pdom_dist
cavlc,7089,128,0.1,gnn_only,1909.0,2810.0,3300.0,0.5784848484848485,True,pdom_dist
cavlc,7089,128,0.2,gnn_only,2933.0,3512.0,3979.0,0.737119879366675,True,pdom_dist
cavlc,7089,128,0.05,shuffled_gnn,288.0,2088.0,2488.0,0.1157556270096463,True,pdom_dist
cavlc,7089,128,0.1,shuffled_gnn,359.0,2810.0,3300.0,0.1087878787878788,True,pdom_dist
cavlc,7089,128,0.2,shuffled_gnn,781.0,3512.0,3979.0,0.19628047248052274,True,pdom_dist
cavlc,7089,128,0.05,pure_static_proximity,2088.0,2088.0,2488.0,0.8392282958199357,False,pdom_dist
cavlc,7089,128,0.1,pure_static_proximity,2810.0,2810.0,3300.0,0.8515151515151516,False,pdom_dist
cavlc,7089,128,0.2,pure_static_proximity,3512.0,3512.0,3979.0,0.8826338275948731,False,pdom_dist
cavlc,7089,128,0.05,cache_structural_only,249.0,2088.0,2488.0,0.10008038585209003,True,pdom_dist
cavlc,7089,128,0.1,cache_structural_only,923.0,2810.0,3300.0,0.2796969696969697,True,pdom_dist
cavlc,7089,128,0.2,cache_structural_only,2182.0,3512.0,3979.0,0.5483789896959035,True,pdom_dist
cavlc,7089,128,0.05,structural_family_only,1392.0,2088.0,2488.0,0.5594855305466238,True,pdom_dist
cavlc,7089,128,0.1,structural_family_only,1913.0,2810.0,3300.0,0.5796969696969697,True,pdom_dist
cavlc,7089,128,0.2,structural_family_only,2238.0,3512.0,3979.0,0.562452877607439,True,pdom_dist
ctrl,7089,128,0.05,segr_structure_derived_selector,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,7089,128,0.1,segr_structure_derived_selector,2123.0,2123.0,2176.0,0.9756433823529411,False,pdom_dist
ctrl,7089,128,0.2,segr_structure_derived_selector,3423.0,3423.0,3890.0,0.8799485861182519,False,pdom_dist
ctrl,7089,128,0.05,no_gnn,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,7089,128,0.1,no_gnn,1999.0,2123.0,2176.0,0.9186580882352942,True,pdom_dist
ctrl,7089,128,0.2,no_gnn,3509.0,3423.0,3890.0,0.9020565552699229,False,pdom_dist
ctrl,7089,128,0.05,gnn_only,574.0,1152.0,1152.0,0.4982638888888889,True,pdom_dist
ctrl,7089,128,0.1,gnn_only,1238.0,2123.0,2176.0,0.5689338235294118,True,pdom_dist
ctrl,7089,128,0.2,gnn_only,2336.0,3423.0,3890.0,0.6005141388174807,True,pdom_dist
ctrl,7089,128,0.05,shuffled_gnn,606.0,1152.0,1152.0,0.5260416666666666,True,pdom_dist
ctrl,7089,128,0.1,shuffled_gnn,1097.0,2123.0,2176.0,0.5041360294117647,True,pdom_dist
ctrl,7089,128,0.2,shuffled_gnn,2025.0,3423.0,3890.0,0.5205655526992288,True,pdom_dist
ctrl,7089,128,0.05,pure_static_proximity,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,7089,128,0.1,pure_static_proximity,2123.0,2123.0,2176.0,0.9756433823529411,False,pdom_dist
ctrl,7089,128,0.2,pure_static_proximity,3423.0,3423.0,3890.0,0.8799485861182519,False,pdom_dist
ctrl,7089,128,0.05,cache_structural_only,599.0,1152.0,1152.0,0.5199652777777778,True,pdom_dist
ctrl,7089,128,0.1,cache_structural_only,1259.0,2123.0,2176.0,0.5785845588235294,True,pdom_dist
ctrl,7089,128,0.2,cache_structural_only,2578.0,3423.0,3890.0,0.6627249357326478,True,pdom_dist
ctrl,7089,128,0.05,structural_family_only,1152.0,1152.0,1152.0,1.0,False,pdom_dist
