method,circuits,macro_ideal_ratio_raw,macro_std_over_circuits,loss_rows,random_gate_fail,ideal_ratio_075_circuits
cache_structural_only,20,0.4750097353353874,0.2506717202889622,38,13,4
gnn_only,20,0.4607119333377419,0.24075456096402148,36,14,3
no_gnn,20,0.6913515943806503,0.20605804316755183,18,4,5
pure_static_proximity,20,0.6678451169158429,0.25828003811430505,0,8,9
segr_structure_derived_selector,20,0.8143664407170059,0.14689456546950286,0,0,13
shuffled_gnn,20,0.33642212513277925,0.2519169510950964,48,17,2
structural_family_only,20,0.5630981181942957,0.2619543137292079,30,8,3
