circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed,chosen_family
adder,7089,128,segr_structure_derived_selector,1.0,0,0.85904995085868,0.8390507885242087,0.877478330940927,0.85904995085868,True,mass_balance
adder,7089,128,no_gnn,0.8639805439168219,0,0.85904995085868,0.8390507885242087,0.877478330940927,0.85904995085868,True,mass_balance
adder,7089,128,gnn_only,0.8583970230705565,0,0.85904995085868,0.8390507885242087,0.877478330940927,0.85904995085868,False,mass_balance
adder,7089,128,shuffled_gnn,0.8609869646182495,0,0.85904995085868,0.8390507885242087,0.877478330940927,0.85904995085868,True,mass_balance
adder,7089,128,pure_static_proximity,0.7558064349265466,0,0.85904995085868,0.8390507885242087,0.877478330940927,0.85904995085868,False,mass_balance
adder,7089,128,cache_structural_only,0.9764024674115456,0,0.85904995085868,0.8390507885242087,0.877478330940927,0.85904995085868,True,mass_balance
adder,7089,128,structural_family_only,1.0,0,0.85904995085868,0.8390507885242087,0.877478330940927,0.85904995085868,True,mass_balance
arbiter,7089,128,segr_structure_derived_selector,0.9266569972843458,0,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,True,pdom_dist
arbiter,7089,128,no_gnn,0.5341466753041219,2,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,True,pdom_dist
arbiter,7089,128,gnn_only,0.0029785697242727806,3,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,False,pdom_dist
arbiter,7089,128,shuffled_gnn,0.13084079329471343,3,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,False,pdom_dist
arbiter,7089,128,pure_static_proximity,0.8963503204221416,0,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,True,pdom_dist
arbiter,7089,128,cache_structural_only,0.016289837790651,3,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,False,pdom_dist
arbiter,7089,128,structural_family_only,0.33282138020513485,3,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,False,pdom_dist
bar,7089,128,segr_structure_derived_selector,0.9813706036179152,0,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,True,pdom_dist
bar,7089,128,no_gnn,0.9813488456316012,0,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,True,pdom_dist
bar,7089,128,gnn_only,0.2650287796519798,3,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,False,pdom_dist
bar,7089,128,shuffled_gnn,0.20714244750381733,3,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,False,pdom_dist
bar,7089,128,pure_static_proximity,0.9812018272466072,0,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,True,pdom_dist
bar,7089,128,cache_structural_only,0.46269271441511994,3,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,False,pdom_dist
bar,7089,128,structural_family_only,0.47530980953218316,3,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,False,pdom_dist
cavlc,7089,128,segr_structure_derived_selector,0.9007607358816319,0,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,True,pdom_dist
cavlc,7089,128,no_gnn,0.8419001685674306,2,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,True,pdom_dist
cavlc,7089,128,gnn_only,0.6240922511916653,3,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,True,pdom_dist
cavlc,7089,128,shuffled_gnn,0.14027465942601594,3,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,False,pdom_dist
cavlc,7089,128,pure_static_proximity,0.8577924249766534,0,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,True,pdom_dist
cavlc,7089,128,cache_structural_only,0.3093854484149877,3,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,False,pdom_dist
cavlc,7089,128,structural_family_only,0.5672117926170108,3,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,True,pdom_dist
ctrl,7089,128,segr_structure_derived_selector,0.9518639894903976,0,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,pdom_dist
ctrl,7089,128,no_gnn,0.9402382145017391,1,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,pdom_dist
ctrl,7089,128,gnn_only,0.5559039504119272,3,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,pdom_dist
ctrl,7089,128,shuffled_gnn,0.5169144162592201,3,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,pdom_dist
ctrl,7089,128,pure_static_proximity,0.9518639894903976,0,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,pdom_dist
ctrl,7089,128,cache_structural_only,0.587091590777985,3,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,pdom_dist
ctrl,7089,128,structural_family_only,0.9285498261001058,2,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,pdom_dist
dec,7089,128,segr_structure_derived_selector,1.0,0,1.0,1.0,1.0,1.0,True,index_mid
dec,7089,128,no_gnn,1.0,0,1.0,1.0,1.0,1.0,True,index_mid
dec,7089,128,gnn_only,1.0,0,1.0,1.0,1.0,1.0,True,index_mid
dec,7089,128,shuffled_gnn,1.0,0,1.0,1.0,1.0,1.0,True,index_mid
dec,7089,128,pure_static_proximity,1.0,0,1.0,1.0,1.0,1.0,True,index_mid
dec,7089,128,cache_structural_only,1.0,0,1.0,1.0,1.0,1.0,True,index_mid
dec,7089,128,structural_family_only,1.0,0,1.0,1.0,1.0,1.0,True,index_mid
div,7089,128,segr_structure_derived_selector,0.7599346695552651,0,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,True,inv_depth
div,7089,128,no_gnn,0.49011581307997737,0,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,False,inv_depth
div,7089,128,gnn_only,0.5520090902570081,0,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,True,inv_depth
div,7089,128,shuffled_gnn,0.12047935547698915,3,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,False,inv_depth
div,7089,128,pure_static_proximity,0.38492833603608384,0,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,False,inv_depth
div,7089,128,cache_structural_only,0.30506690922585356,3,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,False,inv_depth
div,7089,128,structural_family_only,0.1794615211841306,3,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,False,inv_depth
hyp,7089,128,segr_structure_derived_selector,0.8034547864636181,0,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,True,index_mid
hyp,7089,128,no_gnn,0.299439256097582,2,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,False,index_mid
hyp,7089,128,gnn_only,0.4352324444782764,1,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,False,index_mid
hyp,7089,128,shuffled_gnn,0.4497306972958904,1,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,False,index_mid
hyp,7089,128,pure_static_proximity,0.43886004047086025,0,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,False,index_mid
hyp,7089,128,cache_structural_only,0.33175148118093306,2,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,False,index_mid
hyp,7089,128,structural_family_only,0.5467868520802621,0,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,True,index_mid
i2c,7089,128,segr_structure_derived_selector,0.9883296099785908,0,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,True,pdom_dist
i2c,7089,128,no_gnn,0.9289761313454452,2,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,True,pdom_dist
i2c,7089,128,gnn_only,0.4737197898785666,3,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,False,pdom_dist
i2c,7089,128,shuffled_gnn,0.29201926566580977,3,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,False,pdom_dist
i2c,7089,128,pure_static_proximity,0.9883296099785908,0,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,True,pdom_dist
i2c,7089,128,cache_structural_only,0.37121350030081146,3,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,False,pdom_dist
i2c,7089,128,structural_family_only,0.9188657730615284,1,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,True,pdom_dist
int2float,7089,128,segr_structure_derived_selector,0.9212362494877947,0,0.18880951961952508,0.1085154331032469,0.2876708654777445,0.5,True,pdom_dist
int2float,7089,128,no_gnn,0.8727587126386678,2,0.18880951961952508,0.1085154331032469,0.2876708654777445,0.5,True,pdom_dist
int2float,7089,128,gnn_only,0.4483198717293972,3,0.18880951961952508,0.1085154331032469,0.2876708654777445,0.5,False,pdom_dist
int2float,7089,128,shuffled_gnn,0.10785629230465868,3,0.18880951961952508,0.1085154331032469,0.2876708654777445,0.5,False,pdom_dist
int2float,7089,128,pure_static_proximity,0.9003399755703727,0,0.18880951961952508,0.1085154331032469,0.2876708654777445,0.5,True,pdom_dist
