circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed
adder,7089,128,standard_scoap_testability,0.7641484973101593,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,False
adder,7089,128,scoap_co_only,0.760614686788744,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,False
adder,7089,128,scoap_min_fault_cost,0.7641484973101593,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,False
adder,7089,128,scoap_avg_fault_cost,0.7673932792778813,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,False
adder,7089,128,scoap_worst_fault_cost,0.8714092890026899,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,True
adder,7089,128,segr_structure_derived_selector,1.0,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,True
arbiter,7089,128,standard_scoap_testability,0.9961244793565559,0,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,True
arbiter,7089,128,scoap_co_only,0.9961244793565559,0,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,True
arbiter,7089,128,scoap_min_fault_cost,0.9961244793565559,0,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,True
arbiter,7089,128,scoap_avg_fault_cost,0.9961244793565559,0,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,True
arbiter,7089,128,scoap_worst_fault_cost,0.12267398533775156,3,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,False
arbiter,7089,128,segr_structure_derived_selector,0.9266569972843458,0,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,True
bar,7089,128,standard_scoap_testability,0.928666278253533,2,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,scoap_co_only,0.9813706036179152,0,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,scoap_min_fault_cost,0.928666278253533,2,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,scoap_avg_fault_cost,0.9640203491883891,1,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,scoap_worst_fault_cost,0.951643423853267,2,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,segr_structure_derived_selector,0.9813706036179152,0,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
cavlc,7089,128,standard_scoap_testability,0.9384920492774144,0,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,scoap_co_only,0.9291650679938265,0,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,scoap_min_fault_cost,0.9384920492774144,0,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,scoap_avg_fault_cost,0.917837456652623,0,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,scoap_worst_fault_cost,0.8279897812520246,2,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,segr_structure_derived_selector,0.9007607358816319,0,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
ctrl,7089,128,standard_scoap_testability,0.9076806574172085,2,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,scoap_co_only,0.9389077385452896,2,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,scoap_min_fault_cost,0.9076806574172085,2,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,scoap_avg_fault_cost,0.8527314499778774,3,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,scoap_worst_fault_cost,0.8173912933139551,3,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,segr_structure_derived_selector,0.9518639894903976,0,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
dec,7089,128,standard_scoap_testability,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,scoap_co_only,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,scoap_min_fault_cost,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,scoap_avg_fault_cost,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,scoap_worst_fault_cost,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,segr_structure_derived_selector,1.0,0,1.0,1.0,1.0,1.0,True
div,7089,128,standard_scoap_testability,0.5616240752701093,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
div,7089,128,scoap_co_only,0.590989731807791,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
div,7089,128,scoap_min_fault_cost,0.5616240752701093,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
div,7089,128,scoap_avg_fault_cost,0.5478401484888205,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
div,7089,128,scoap_worst_fault_cost,0.5316065987298758,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
div,7089,128,segr_structure_derived_selector,0.7599346695552651,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
hyp,7089,128,standard_scoap_testability,0.2192732842102643,3,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,scoap_co_only,0.21874889786563986,3,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,scoap_min_fault_cost,0.2192732842102643,3,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,scoap_avg_fault_cost,0.22025799078609934,3,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,scoap_worst_fault_cost,0.2214623712723035,3,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,segr_structure_derived_selector,0.8034547864636181,0,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,True
i2c,7089,128,standard_scoap_testability,0.9835873429979713,2,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,scoap_co_only,0.9904123615377455,0,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,scoap_min_fault_cost,0.9835873429979713,2,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,scoap_avg_fault_cost,0.9391566233621346,2,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,scoap_worst_fault_cost,0.8954719489024316,3,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
i2c,7089,128,segr_structure_derived_selector,0.9883296099785908,0,0.2977078757690113,0.23172966452205881,0.3602879432477577,0.5,True
int2float,7089,128,standard_scoap_testability,0.9091691430712697,1,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,scoap_co_only,0.8983662491022748,2,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,scoap_min_fault_cost,0.9091691430712697,1,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,scoap_avg_fault_cost,0.9063185269841386,2,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,scoap_worst_fault_cost,0.8688183599019218,3,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,segr_structure_derived_selector,0.9212362494877947,0,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
log2,7089,128,standard_scoap_testability,0.4804147986284362,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,False
log2,7089,128,scoap_co_only,0.5186323104890617,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,True
log2,7089,128,scoap_min_fault_cost,0.4804147986284362,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,False
log2,7089,128,scoap_avg_fault_cost,0.4459234638811957,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,False
log2,7089,128,scoap_worst_fault_cost,0.4243288502878669,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,False
log2,7089,128,segr_structure_derived_selector,0.6610079825692738,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,True
max,7089,128,standard_scoap_testability,0.9920770544637596,0,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,True
