circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss
adder,7089,128,0.2,selector_family_diagnostics:wl3_role_depth_gnn,20715.0,17245.0,22912.0,0.9041113826815642,False
adder,7089,128,0.05,selector_family_diagnostics:forward_mass_pr,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,selector_family_diagnostics:forward_mass_pr,11520.0,8720.0,11520.0,1.0,False
adder,7089,128,0.2,selector_family_diagnostics:forward_mass_pr,21268.0,17245.0,22912.0,0.9282472067039106,False
adder,7089,128,0.05,selector_family_diagnostics:sink_reach_near_pr,4365.0,4365.0,5760.0,0.7578125,False
adder,7089,128,0.1,selector_family_diagnostics:sink_reach_near_pr,8720.0,8720.0,11520.0,0.7569444444444444,False
adder,7089,128,0.2,selector_family_diagnostics:sink_reach_near_pr,17247.0,17245.0,22912.0,0.7527496508379888,False
adder,7089,128,0.05,selector_family_diagnostics:pdom_dist,4365.0,4365.0,5760.0,0.7578125,False
adder,7089,128,0.1,selector_family_diagnostics:pdom_dist,8720.0,8720.0,11520.0,0.7569444444444444,False
adder,7089,128,0.2,selector_family_diagnostics:pdom_dist,17245.0,17245.0,22912.0,0.7526623603351955,False
adder,7089,128,0.05,selector_family_diagnostics:mass_balance,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,selector_family_diagnostics:mass_balance,11520.0,8720.0,11520.0,1.0,False
adder,7089,128,0.2,selector_family_diagnostics:mass_balance,22912.0,17245.0,22912.0,1.0,False
adder,7089,128,0.05,selector_family_diagnostics:role_depth_resonance_orig_idx_edge_depth_inv,5495.0,4365.0,5760.0,0.9539930555555556,False
adder,7089,128,0.1,selector_family_diagnostics:role_depth_resonance_orig_idx_edge_depth_inv,10233.0,8720.0,11520.0,0.88828125,False
adder,7089,128,0.2,selector_family_diagnostics:role_depth_resonance_orig_idx_edge_depth_inv,19614.0,17245.0,22912.0,0.8560579608938548,False
adder,7089,128,0.05,selector_family_diagnostics:role_depth_resonance_idx_edge_depth_inv,5495.0,4365.0,5760.0,0.9539930555555556,False
adder,7089,128,0.1,selector_family_diagnostics:role_depth_resonance_idx_edge_depth_inv,10233.0,8720.0,11520.0,0.88828125,False
adder,7089,128,0.2,selector_family_diagnostics:role_depth_resonance_idx_edge_depth_inv,19614.0,17245.0,22912.0,0.8560579608938548,False
adder,7089,128,0.05,selector_family_diagnostics:role_depth_resonance_orig_idx_inv_dist,4284.0,4365.0,5760.0,0.74375,True
adder,7089,128,0.1,selector_family_diagnostics:role_depth_resonance_orig_idx_inv_dist,8622.0,8720.0,11520.0,0.7484375,True
adder,7089,128,0.2,selector_family_diagnostics:role_depth_resonance_orig_idx_inv_dist,18261.0,17245.0,22912.0,0.79700593575419,False
adder,7089,128,0.05,selector_family_diagnostics:role_depth_resonance_idx_inv_dist,4284.0,4365.0,5760.0,0.74375,True
adder,7089,128,0.1,selector_family_diagnostics:role_depth_resonance_idx_inv_dist,8622.0,8720.0,11520.0,0.7484375,True
adder,7089,128,0.2,selector_family_diagnostics:role_depth_resonance_idx_inv_dist,18261.0,17245.0,22912.0,0.79700593575419,False
adder,7089,128,0.05,selector_family_diagnostics:role_depth_frontier_idx_edge_depth_inv,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,selector_family_diagnostics:role_depth_frontier_idx_edge_depth_inv,11520.0,8720.0,11520.0,1.0,False
adder,7089,128,0.2,selector_family_diagnostics:role_depth_frontier_idx_edge_depth_inv,20687.0,17245.0,22912.0,0.9028893156424581,False
adder,7089,128,0.05,selector_family_diagnostics:role_depth_biindex_dist,4349.0,4365.0,5760.0,0.7550347222222222,True
adder,7089,128,0.1,selector_family_diagnostics:role_depth_biindex_dist,8723.0,8720.0,11520.0,0.7572048611111111,False
adder,7089,128,0.2,selector_family_diagnostics:role_depth_biindex_dist,17301.0,17245.0,22912.0,0.7551064944134078,False
arbiter,7089,128,0.05,selector_family_diagnostics:static_proximity,36110.0,36110.0,43102.0,0.8377801494130203,False
arbiter,7089,128,0.1,selector_family_diagnostics:static_proximity,50079.0,50079.0,57142.0,0.876395645934689,False
arbiter,7089,128,0.2,selector_family_diagnostics:static_proximity,61694.0,61694.0,63284.0,0.9748751659187156,False
arbiter,7089,128,0.05,selector_family_diagnostics:dist_avg_inv,36402.0,36110.0,43102.0,0.8445547770405085,False
arbiter,7089,128,0.1,selector_family_diagnostics:dist_avg_inv,53987.0,50079.0,57142.0,0.944786671800077,False
arbiter,7089,128,0.2,selector_family_diagnostics:dist_avg_inv,62691.0,61694.0,63284.0,0.9906295430124518,False
arbiter,7089,128,0.05,selector_family_diagnostics:pagerank,4829.0,36110.0,43102.0,0.1120365644285648,True
arbiter,7089,128,0.1,selector_family_diagnostics:pagerank,9632.0,50079.0,57142.0,0.16856252843792657,True
arbiter,7089,128,0.2,selector_family_diagnostics:pagerank,18667.0,61694.0,63284.0,0.2949718728272549,True
arbiter,7089,128,0.05,selector_family_diagnostics:betweenness,99.0,36110.0,43102.0,0.0022968771750730825,True
arbiter,7089,128,0.1,selector_family_diagnostics:betweenness,321.0,50079.0,57142.0,0.005617584263763956,True
arbiter,7089,128,0.2,selector_family_diagnostics:betweenness,1056.0,61694.0,63284.0,0.016686682257758677,True
arbiter,7089,128,0.05,selector_family_diagnostics:eigen,275.0,36110.0,43102.0,0.006380214375203007,True
arbiter,7089,128,0.1,selector_family_diagnostics:eigen,802.0,50079.0,57142.0,0.014035210528157923,True
arbiter,7089,128,0.2,selector_family_diagnostics:eigen,1815.0,61694.0,63284.0,0.028680235130522723,True
arbiter,7089,128,0.05,selector_family_diagnostics:out_deg,0.0,36110.0,43102.0,0.0,True
arbiter,7089,128,0.1,selector_family_diagnostics:out_deg,2892.0,50079.0,57142.0,0.05061075916138742,True
arbiter,7089,128,0.2,selector_family_diagnostics:out_deg,9689.0,61694.0,63284.0,0.15310347007142405,True
arbiter,7089,128,0.05,selector_family_diagnostics:inv_depth,24827.0,36110.0,43102.0,0.5760057537933274,True
arbiter,7089,128,0.1,selector_family_diagnostics:inv_depth,33604.0,50079.0,57142.0,0.5880788211823177,True
arbiter,7089,128,0.2,selector_family_diagnostics:inv_depth,59187.0,61694.0,63284.0,0.9352600973389799,True
arbiter,7089,128,0.05,selector_family_diagnostics:cache_struct,342.0,36110.0,43102.0,0.007934666604797922,True
arbiter,7089,128,0.1,selector_family_diagnostics:cache_struct,684.0,50079.0,57142.0,0.01197017955269329,True
arbiter,7089,128,0.2,selector_family_diagnostics:cache_struct,1833.0,61694.0,63284.0,0.02896466721446179,True
arbiter,7089,128,0.05,selector_family_diagnostics:gnn_rank,128.0,36110.0,43102.0,0.0029696997819126723,True
arbiter,7089,128,0.1,selector_family_diagnostics:gnn_rank,154.0,50079.0,57142.0,0.002695040425606384,True
arbiter,7089,128,0.2,selector_family_diagnostics:gnn_rank,207.0,61694.0,63284.0,0.0032709689652992858,True
arbiter,7089,128,0.05,selector_family_diagnostics:final_score,35592.0,36110.0,43102.0,0.8257621456080925,True
arbiter,7089,128,0.1,selector_family_diagnostics:final_score,48985.0,50079.0,57142.0,0.8572503587553814,True
arbiter,7089,128,0.2,selector_family_diagnostics:final_score,61716.0,61694.0,63284.0,0.975222805132419,False
arbiter,7089,128,0.05,selector_family_diagnostics:final_rank,35592.0,36110.0,43102.0,0.8257621456080925,True
arbiter,7089,128,0.1,selector_family_diagnostics:final_rank,48985.0,50079.0,57142.0,0.8572503587553814,True
arbiter,7089,128,0.2,selector_family_diagnostics:final_rank,61716.0,61694.0,63284.0,0.975222805132419,False
arbiter,7089,128,0.05,selector_family_diagnostics:index_mid,3712.0,36110.0,43102.0,0.08612129367546749,True
arbiter,7089,128,0.1,selector_family_diagnostics:index_mid,7152.0,50079.0,57142.0,0.12516187742816143,True
arbiter,7089,128,0.2,selector_family_diagnostics:index_mid,14034.0,61694.0,63284.0,0.22176221477782693,True
arbiter,7089,128,0.05,selector_family_diagnostics:idx_mid_cache,993.0,36110.0,43102.0,0.0230383740893694,True
arbiter,7089,128,0.1,selector_family_diagnostics:idx_mid_cache,3036.0,50079.0,57142.0,0.05313079696195443,True
arbiter,7089,128,0.2,selector_family_diagnostics:idx_mid_cache,9161.0,61694.0,63284.0,0.14476012894254472,True
arbiter,7089,128,0.05,selector_family_diagnostics:dist_pr,41655.0,36110.0,43102.0,0.966428471996659,False
arbiter,7089,128,0.1,selector_family_diagnostics:dist_pr,54565.0,50079.0,57142.0,0.9549018235273529,False
arbiter,7089,128,0.2,selector_family_diagnostics:dist_pr,62760.0,61694.0,63284.0,0.9917198660008849,False
