method,circuits,macro_ideal_ratio_raw,macro_std_over_circuits,loss_rows,random_gate_fail,ideal_ratio_075_circuits
segr_h128,20,0.7887514651255835,0.15605467225223246,1,2,12
segr_h32,20,0.7561142827623567,0.22995603864279235,4,2,11
segr_l1,20,0.806305643631959,0.13563973364340184,0,1,13
segr_l3,20,0.7658279500404315,0.16392579652059244,3,2,11
segr_structure_derived_selector,20,0.8143664407170059,0.14689456546950286,0,0,13
