suite,circuit,label_mode,scan_mode,budget,pool_mode,n_nodes,budget_nodes,vectors,global_rank_prefix_consistent,chosen_family,family_reason,family_selector_mode,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,gnn_nonrandom,gnn_struct_agree,gnn_reliable,gnn_participated,distance_guard_active,distance_guard_mode,method,selected,fault_instance_total,fault_instance_selected,fault_instance_snc,fault_instance_nsde,fault_instance_oracle
iscas85,c432,external_random_vector_stuck_at,combinational,0.05,global_prefix,160,8,128,True,dist_avg_inv,relative-distance-dominance,segr_adaptive_no_hand_parameters,0.31305222449250275,0.4358974358974359,0.36585365853658536,0.4666666666666667,0.6362028301886793,0.515625,True,True,True,auto_runtime_visible,pure_static_proximity,8,6376,1024,0.1606022584692597,1.0,1024
iscas85,c432,external_random_vector_stuck_at,combinational,0.05,global_prefix,160,8,128,True,dist_avg_inv,relative-distance-dominance,segr_adaptive_no_hand_parameters,0.31305222449250275,0.4358974358974359,0.36585365853658536,0.4666666666666667,0.6362028301886793,0.515625,True,True,True,auto_runtime_visible,segr_structure_derived_selector,8,6376,1024,0.1606022584692597,1.0,1024
iscas85,c432,external_random_vector_stuck_at,combinational,0.1,global_prefix,160,16,128,True,dist_avg_inv,relative-distance-dominance,segr_adaptive_no_hand_parameters,0.31305222449250275,0.4358974358974359,0.36585365853658536,0.4666666666666667,0.6362028301886793,0.515625,True,True,True,auto_runtime_visible,pure_static_proximity,16,6376,1955,0.3066185696361355,0.9721531576330183,2011
iscas85,c432,external_random_vector_stuck_at,combinational,0.1,global_prefix,160,16,128,True,dist_avg_inv,relative-distance-dominance,segr_adaptive_no_hand_parameters,0.31305222449250275,0.4358974358974359,0.36585365853658536,0.4666666666666667,0.6362028301886793,0.515625,True,True,True,auto_runtime_visible,segr_structure_derived_selector,16,6376,1955,0.3066185696361355,0.9721531576330183,2011
iscas85,c432,external_random_vector_stuck_at,combinational,0.2,global_prefix,160,32,128,True,dist_avg_inv,relative-distance-dominance,segr_adaptive_no_hand_parameters,0.31305222449250275,0.4358974358974359,0.36585365853658536,0.4666666666666667,0.6362028301886793,0.515625,True,True,True,auto_runtime_visible,pure_static_proximity,32,6376,2631,0.4126411543287328,0.8186060983198507,3214
iscas85,c432,external_random_vector_stuck_at,combinational,0.2,global_prefix,160,32,128,True,dist_avg_inv,relative-distance-dominance,segr_adaptive_no_hand_parameters,0.31305222449250275,0.4358974358974359,0.36585365853658536,0.4666666666666667,0.6362028301886793,0.515625,True,True,True,auto_runtime_visible,segr_structure_derived_selector,32,6376,2631,0.4126411543287328,0.8186060983198507,3214
iscas85,c499,external_random_vector_stuck_at,combinational,0.05,global_prefix,202,11,128,True,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,0.34158686054908244,0.0,0.1875,1.0,0.6670942164179104,0.5392568407960199,True,True,True,auto_runtime_visible,pure_static_proximity,11,12071,1408,0.11664319443293844,1.0,1408
iscas85,c499,external_random_vector_stuck_at,combinational,0.05,global_prefix,202,11,128,True,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,0.34158686054908244,0.0,0.1875,1.0,0.6670942164179104,0.5392568407960199,True,True,True,auto_runtime_visible,segr_structure_derived_selector,11,12071,1408,0.11664319443293844,1.0,1408
iscas85,c499,external_random_vector_stuck_at,combinational,0.1,global_prefix,202,21,128,True,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,0.34158686054908244,0.0,0.1875,1.0,0.6670942164179104,0.5392568407960199,True,True,True,auto_runtime_visible,pure_static_proximity,21,12071,2688,0.22268246209924614,1.0,2688
iscas85,c499,external_random_vector_stuck_at,combinational,0.1,global_prefix,202,21,128,True,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,0.34158686054908244,0.0,0.1875,1.0,0.6670942164179104,0.5392568407960199,True,True,True,auto_runtime_visible,segr_structure_derived_selector,21,12071,2688,0.22268246209924614,1.0,2688
iscas85,c499,external_random_vector_stuck_at,combinational,0.2,global_prefix,202,41,128,True,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,0.34158686054908244,0.0,0.1875,1.0,0.6670942164179104,0.5392568407960199,True,True,True,auto_runtime_visible,pure_static_proximity,41,12071,5248,0.4347609974318615,1.0,5248
iscas85,c499,external_random_vector_stuck_at,combinational,0.2,global_prefix,202,41,128,True,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,0.34158686054908244,0.0,0.1875,1.0,0.6670942164179104,0.5392568407960199,True,True,True,auto_runtime_visible,segr_structure_derived_selector,41,12071,5248,0.4347609974318615,1.0,5248
iscas85,c880,external_random_vector_stuck_at,combinational,0.05,global_prefix,383,20,128,True,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,0.3601931998544134,0.6944444444444444,0.008264462809917356,1.0,0.7068267342931938,0.4163121727748691,True,True,True,auto_runtime_visible,pure_static_proximity,20,28833,2560,0.08878715360871224,1.0,2560
