figure,circuit,budget,variant,public_name,segr_value,variant_value,oracle_value,delta,segr_ratio,variant_ratio,sign
Fig5,bar,0.1,shuffled_gnn,Shuffled-GNN,28736.0,4911.0,28736.0,0.8290993875278396,1.0,0.17090061247216035,positive
Fig5,bar,0.1,cache_structural_only,Cache-Struct,28736.0,10987.0,28736.0,0.6176572939866369,1.0,0.382342706013363,positive
Fig5,bar,0.1,structural_family_only,Struct-Family,28736.0,11675.0,28736.0,0.5937152004454342,1.0,0.4062847995545657,positive
Fig5,bar,0.2,pure_static_proximity,Static-Prox,39346.0,39326.0,39500.0,0.0005063291139240507,0.9961012658227848,0.9955949367088608,positive
Fig5,bar,0.2,no_gnn,SEGR w/o GNN,39346.0,39344.0,39500.0,5.0632911392405066e-05,0.9961012658227848,0.9960506329113924,positive
Fig5,bar,0.2,gnn_only,GNN-only,39346.0,24242.0,39500.0,0.382379746835443,0.9961012658227848,0.6137215189873417,positive
Fig5,bar,0.2,shuffled_gnn,Shuffled-GNN,39346.0,10305.0,39500.0,0.7352151898734177,0.9961012658227848,0.2608860759493671,positive
Fig5,bar,0.2,cache_structural_only,Cache-Struct,39346.0,13460.0,39500.0,0.6553417721518987,0.9961012658227848,0.3407594936708861,positive
Fig5,bar,0.2,structural_family_only,Struct-Family,39346.0,18430.0,39500.0,0.5295189873417722,0.9961012658227848,0.46658227848101264,positive
Fig5,cavlc,0.05,pure_static_proximity,Static-Prox,2088.0,2088.0,2488.0,0.0,0.8392282958199357,0.8392282958199357,zero
Fig5,cavlc,0.05,no_gnn,SEGR w/o GNN,2088.0,1673.0,2488.0,0.16680064308681672,0.8392282958199357,0.672427652733119,positive
Fig5,cavlc,0.05,gnn_only,GNN-only,2088.0,1385.0,2488.0,0.282556270096463,0.8392282958199357,0.5566720257234726,positive
Fig5,cavlc,0.05,shuffled_gnn,Shuffled-GNN,2088.0,288.0,2488.0,0.7234726688102894,0.8392282958199357,0.1157556270096463,positive
Fig5,cavlc,0.05,cache_structural_only,Cache-Struct,2088.0,726.0,2488.0,0.547427652733119,0.8392282958199357,0.29180064308681675,positive
Fig5,cavlc,0.05,structural_family_only,Struct-Family,2088.0,1392.0,2488.0,0.2797427652733119,0.8392282958199357,0.5594855305466238,positive
Fig5,cavlc,0.1,pure_static_proximity,Static-Prox,3038.0,2810.0,3300.0,0.06909090909090909,0.9206060606060606,0.8515151515151516,positive
Fig5,cavlc,0.1,no_gnn,SEGR w/o GNN,3038.0,2085.0,3300.0,0.2887878787878788,0.9206060606060606,0.6318181818181818,positive
Fig5,cavlc,0.1,gnn_only,GNN-only,3038.0,1911.0,3300.0,0.3415151515151515,0.9206060606060606,0.5790909090909091,positive
Fig5,cavlc,0.1,shuffled_gnn,Shuffled-GNN,3038.0,359.0,3300.0,0.8118181818181818,0.9206060606060606,0.1087878787878788,positive
Fig5,cavlc,0.1,cache_structural_only,Cache-Struct,3038.0,1359.0,3300.0,0.5087878787878788,0.9206060606060606,0.4118181818181818,positive
Fig5,cavlc,0.1,structural_family_only,Struct-Family,3038.0,1913.0,3300.0,0.3409090909090909,0.9206060606060606,0.5796969696969697,positive
Fig5,cavlc,0.2,pure_static_proximity,Static-Prox,3750.0,3512.0,3979.0,0.05981402362402614,0.9424478512188992,0.8826338275948731,positive
Fig5,cavlc,0.2,no_gnn,SEGR w/o GNN,3750.0,3076.0,3979.0,0.16938929379241016,0.9424478512188992,0.7730585574264891,positive
Fig5,cavlc,0.2,gnn_only,GNN-only,3750.0,2933.0,3979.0,0.20532797185222418,0.9424478512188992,0.737119879366675,positive
Fig5,cavlc,0.2,shuffled_gnn,Shuffled-GNN,3750.0,781.0,3979.0,0.7461673787383765,0.9424478512188992,0.19628047248052274,positive
Fig5,cavlc,0.2,cache_structural_only,Cache-Struct,3750.0,1882.0,3979.0,0.4694646896205077,0.9424478512188992,0.47298316159839154,positive
Fig5,cavlc,0.2,structural_family_only,Struct-Family,3750.0,2238.0,3979.0,0.3799949736114602,0.9424478512188992,0.562452877607439,positive
Fig5,ctrl,0.05,pure_static_proximity,Static-Prox,1152.0,1152.0,1152.0,0.0,1.0,1.0,zero
Fig5,ctrl,0.05,no_gnn,SEGR w/o GNN,1152.0,1152.0,1152.0,0.0,1.0,1.0,zero
Fig5,ctrl,0.05,gnn_only,GNN-only,1152.0,574.0,1152.0,0.5017361111111112,1.0,0.4982638888888889,positive
Fig5,ctrl,0.05,shuffled_gnn,Shuffled-GNN,1152.0,606.0,1152.0,0.4739583333333333,1.0,0.5260416666666666,positive
Fig5,ctrl,0.05,cache_structural_only,Cache-Struct,1152.0,729.0,1152.0,0.3671875,1.0,0.6328125,positive
Fig5,ctrl,0.05,structural_family_only,Struct-Family,1152.0,1152.0,1152.0,0.0,1.0,1.0,zero
Fig5,ctrl,0.1,pure_static_proximity,Static-Prox,2123.0,2123.0,2176.0,0.0,0.9756433823529411,0.9756433823529411,zero
Fig5,ctrl,0.1,no_gnn,SEGR w/o GNN,2123.0,2058.0,2176.0,0.029871323529411766,0.9756433823529411,0.9457720588235294,positive
Fig5,ctrl,0.1,gnn_only,GNN-only,2123.0,1238.0,2176.0,0.40670955882352944,0.9756433823529411,0.5689338235294118,positive
Fig5,ctrl,0.1,shuffled_gnn,Shuffled-GNN,2123.0,1097.0,2176.0,0.47150735294117646,0.9756433823529411,0.5041360294117647,positive
Fig5,ctrl,0.1,cache_structural_only,Cache-Struct,2123.0,1385.0,2176.0,0.3391544117647059,0.9756433823529411,0.6364889705882353,positive
Fig5,ctrl,0.1,structural_family_only,Struct-Family,2123.0,2048.0,2176.0,0.034466911764705885,0.9756433823529411,0.9411764705882353,positive
Fig5,ctrl,0.2,pure_static_proximity,Static-Prox,3423.0,3423.0,3890.0,0.0,0.8799485861182519,0.8799485861182519,zero
Fig5,ctrl,0.2,no_gnn,SEGR w/o GNN,3423.0,3454.0,3890.0,-0.007969151670951156,0.8799485861182519,0.8879177377892031,negative
Fig5,ctrl,0.2,gnn_only,GNN-only,3423.0,2337.0,3890.0,0.27917737789203084,0.8799485861182519,0.6007712082262211,positive
Fig5,ctrl,0.2,shuffled_gnn,Shuffled-GNN,3423.0,2111.0,3890.0,0.3372750642673522,0.8799485861182519,0.5426735218508998,positive
Fig5,ctrl,0.2,cache_structural_only,Cache-Struct,3423.0,2563.0,3890.0,0.2210796915167095,0.8799485861182519,0.6588688946015424,positive
Fig5,ctrl,0.2,structural_family_only,Struct-Family,3423.0,3285.0,3890.0,0.03547557840616967,0.8799485861182519,0.8444730077120822,positive
Fig5,dec,0.05,pure_static_proximity,Static-Prox,384.0,384.0,384.0,0.0,1.0,1.0,zero
Fig5,dec,0.05,no_gnn,SEGR w/o GNN,384.0,384.0,384.0,0.0,1.0,1.0,zero
Fig5,dec,0.05,gnn_only,GNN-only,384.0,384.0,384.0,0.0,1.0,1.0,zero
Fig5,dec,0.05,shuffled_gnn,Shuffled-GNN,384.0,384.0,384.0,0.0,1.0,1.0,zero
Fig5,dec,0.05,cache_structural_only,Cache-Struct,384.0,384.0,384.0,0.0,1.0,1.0,zero
Fig5,dec,0.05,structural_family_only,Struct-Family,384.0,384.0,384.0,0.0,1.0,1.0,zero
Fig5,dec,0.1,pure_static_proximity,Static-Prox,640.0,640.0,640.0,0.0,1.0,1.0,zero
Fig5,dec,0.1,no_gnn,SEGR w/o GNN,640.0,640.0,640.0,0.0,1.0,1.0,zero
Fig5,dec,0.1,gnn_only,GNN-only,640.0,640.0,640.0,0.0,1.0,1.0,zero
Fig5,dec,0.1,shuffled_gnn,Shuffled-GNN,640.0,640.0,640.0,0.0,1.0,1.0,zero
Fig5,dec,0.1,cache_structural_only,Cache-Struct,640.0,640.0,640.0,0.0,1.0,1.0,zero
Fig5,dec,0.1,structural_family_only,Struct-Family,640.0,640.0,640.0,0.0,1.0,1.0,zero
Fig5,dec,0.2,pure_static_proximity,Static-Prox,1280.0,1280.0,1280.0,0.0,1.0,1.0,zero
Fig5,dec,0.2,no_gnn,SEGR w/o GNN,1280.0,1280.0,1280.0,0.0,1.0,1.0,zero
Fig5,dec,0.2,gnn_only,GNN-only,1280.0,1280.0,1280.0,0.0,1.0,1.0,zero
Fig5,dec,0.2,shuffled_gnn,Shuffled-GNN,1280.0,1280.0,1280.0,0.0,1.0,1.0,zero
Fig5,dec,0.2,cache_structural_only,Cache-Struct,1280.0,1280.0,1280.0,0.0,1.0,1.0,zero
Fig5,dec,0.2,structural_family_only,Struct-Family,1280.0,1280.0,1280.0,0.0,1.0,1.0,zero
Fig5,div,0.05,pure_static_proximity,Static-Prox,89238.0,34215.0,120176.0,0.45785348156037814,0.7425609106643589,0.28470742910398084,positive
Fig5,div,0.05,no_gnn,SEGR w/o GNN,89238.0,26003.0,120176.0,0.5261865929969378,0.7425609106643589,0.21637431766742113,positive
Fig5,div,0.05,gnn_only,GNN-only,89238.0,51232.0,120176.0,0.31625282918386366,0.7425609106643589,0.42630808148049526,positive
