figure,circuit,method,public_name,n_nodes,correlation,centered_rmse,method_std,oracle_std,std_ratio,centered_rmse_norm
Fig4,priority,structural_family_only,Struct-Family,971,0.38243884932352196,0.32115273433799785,0.288972584580571,0.288972584580571,1.0,1.111360563162539
Fig4,router,v38_no_hand_parameters_selector,SEGR,254,0.48362127833300067,0.2945224289414895,0.28981389694364224,0.28981389694364224,1.0,1.0162467433325424
Fig4,router,pure_static_proximity,Static-Prox,254,0.6886488584416369,0.22869645654035037,0.28981389694364224,0.28981389694364224,1.0,0.7891148732071434
Fig4,router,no_gnn,SEGR w/o GNN,254,0.4042506137558195,0.31634866512503884,0.2898138969436422,0.28981389694364224,0.9999999999999998,1.0915579565411822
Fig4,router,gnn_only,GNN-only,254,0.2239043474599388,0.36107035234111035,0.28981389694364224,0.28981389694364224,1.0,1.2458696982751134
Fig4,router,shuffled_gnn,Shuffled-GNN,254,-0.027541296933326256,0.41546442949137574,0.28981389694364224,0.28981389694364224,1.0,1.4335559263128357
Fig4,router,cache_structural_only,Cache-Struct,254,0.2014265131529565,0.3662618190891962,0.28981389694364224,0.28981389694364224,1.0,1.2637828032118839
Fig4,router,structural_family_only,Struct-Family,254,0.19552859891583538,0.36761185572109545,0.28981389694364224,0.28981389694364224,1.0,1.2684410913275908
Fig4,sin,v38_no_hand_parameters_selector,SEGR,5391,0.44855432752445284,0.3032189227098233,0.2887286871663885,0.2887286871663885,1.0,1.0501863382043655
Fig4,sin,pure_static_proximity,Static-Prox,5391,0.2699109767622818,0.3488934718639337,0.2887286871663885,0.2887286871663885,1.0,1.2083782712691569
Fig4,sin,no_gnn,SEGR w/o GNN,5391,0.09235352576341972,0.38901226700470165,0.2887286871663885,0.2887286871663885,1.0,1.3473280775197851
Fig4,sin,gnn_only,GNN-only,5391,0.19925129338884842,0.36538697076649596,0.2887286871663885,0.2887286871663885,1.0,1.2655028301913445
Fig4,sin,shuffled_gnn,Shuffled-GNN,5391,-0.014189592268979208,0.41121079649771775,0.28872868716638844,0.2887286871663885,0.9999999999999998,1.4242117765760673
Fig4,sin,cache_structural_only,Cache-Struct,5391,0.013313513915955736,0.4055968038003965,0.2887286871663885,0.2887286871663885,1.0,1.4047679424617037
Fig4,sin,structural_family_only,Struct-Family,5391,0.3056823834558698,0.34023894748465433,0.2887286871663885,0.2887286871663885,1.0,1.1784036800215196
Fig4,sqrt,v38_no_hand_parameters_selector,SEGR,24554,0.687439840557818,0.2282489939665383,0.28868689157995614,0.28868689157995614,1.0,0.7906455077241404
Fig4,sqrt,pure_static_proximity,Static-Prox,24554,0.39968526016876116,0.3163235788802152,0.2886868915799561,0.28868689157995614,0.9999999999999998,1.0957323941832138
Fig4,sqrt,no_gnn,SEGR w/o GNN,24554,0.12316353786846086,0.3822974160932015,0.28868689157995614,0.28868689157995614,1.0,1.324263162767536
Fig4,sqrt,gnn_only,GNN-only,24554,0.3492567865103551,0.32934182362097336,0.28868689157995614,0.28868689157995614,1.0,1.1408270802270122
