figure,method,public_name,circuits,mean_correlation,mean_centered_rmse,mean_centered_rmse_norm,mean_method_std,mean_oracle_std,mean_std_ratio
Fig4,v38_no_hand_parameters_selector,SEGR,20,0.5421441192352546,0.2695080927267998,0.9313673645679951,0.28926202653883265,0.28926202653883265,1.0
Fig4,pure_static_proximity,Static-Prox,20,0.4962111092233299,0.27573385856200405,0.9536627178827655,0.28926202653883265,0.28926202653883265,1.0
Fig4,no_gnn,SEGR w/o GNN,20,0.3131563571307504,0.3335013109455774,1.1530084581107911,0.28926202653883265,0.28926202653883265,1.0
Fig4,gnn_only,GNN-only,20,0.17012742941165818,0.37081397001357197,1.2819372754610678,0.28926202653883265,0.28926202653883265,1.0
Fig4,shuffled_gnn,Shuffled-GNN,20,0.01205539986750525,0.40596821252094756,1.4037688541779298,0.28926202653883265,0.28926202653883265,1.0
Fig4,cache_structural_only,Cache-Struct,20,0.10845416222717713,0.38070902906801357,1.3168073666931508,0.28926202653883265,0.28926202653883265,1.0
Fig4,structural_family_only,Struct-Family,20,0.3139381687887443,0.33288416840407636,1.1513651600247583,0.28926202653883265,0.28926202653883265,1.0
