figure,variant,public_name,samples,positive,zero,negative,mean_delta,median_delta,q25_delta,q75_delta,min_delta,max_delta
Fig5,pure_static_proximity,Static-Prox,60,44,16,0,0.15067020496978872,0.06874096747814853,0.0,0.2582886609345064,0.0,0.5043842325618138
Fig5,no_gnn,SEGR w/o GNN,60,49,8,3,0.20192672462565875,0.1674551999671603,0.02481298508986928,0.3281699283121881,-0.007969151670951156,0.8557803367050506
Fig5,gnn_only,GNN-only,60,57,3,0,0.3564672430868591,0.32888399034950755,0.2020862566669459,0.47626910940666534,0.0,0.9873585740471525
Fig5,shuffled_gnn,Shuffled-GNN,60,57,3,0,0.4819204571293092,0.4583329131906738,0.3147063053855214,0.7192413289672782,0.0,0.8375634517766497
Fig5,cache_structural_only,Cache-Struct,60,55,5,0,0.393260789950782,0.3754904823688843,0.17648698404569357,0.5974746334196165,0.0,0.9877852221730611
Fig5,structural_family_only,Struct-Family,60,49,9,2,0.25541720369133597,0.27118979273481847,0.03657393725717212,0.4254848441377283,-0.1798428676651117,0.704875573133597
