circuit,load_seconds,gnn_seconds,rank_seconds,total_seconds,runtime_no_fi,gnn_nonrandom,gnn_struct_agree,train_nodes,device,epochs,hidden,layers,gnn_reliable,effective_gnn_weight,effective_struct_weight,residual_step,chosen_family,family_reason,family_selector_mode,adaptive_parameter_mode,frontier_metric_mode,structural_effective_dim,structural_active_features,frontier_fraction,core_fraction,tail_quantile,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,family_tail_separation,family_frontier_mean,family_peer_frontier_overlap_pct,family_gnn_frontier_overlap_pct,family_cache_frontier_overlap_pct,family_static_core_overlap_pct,family_tail_separation_pct,family_frontier_mean_pct,distance_guard_active,distance_guard_mode,final_score_mean
adder,0.0229233000000022,2.863882900000135,0.1265880000000834,3.0392511000000013,True,0.7260802469135803,0.8653023288439955,2296,cuda,30,64,2,True,0.5587065837879257,0.4412934162120743,0.1219603441825664,mass_balance,relative-mass-balance-frontier,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.9635258279583185,6.0,0.25230061400031734,0.10036607695580348,0.9579498976666138,0.20055218648726436,0.2768361581920904,0.4868421052631579,0.0,0.0883813389983521,0.9989771542795753,0.1896551724137931,0.603448275862069,0.7758620689655172,0.20689655172413793,0.3275862068965517,0.9827586206896551,False,auto_runtime_visible,0.4998386732646716
arbiter,0.2720021000000088,0.33793169999989914,1.7295030000000224,2.6535994000000755,True,0.7569978917591802,0.2592635834756618,8192,cuda,30,64,2,True,0.48806859815911313,0.5119314018408869,0.09744520352974666,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.387999811182717,6.0,0.2278942668710976,0.09626492281252226,0.9620176221881505,0.37946213739983065,0.08827726809378185,0.07447665056360708,0.7013574660633484,-8.535546105914423e-05,0.0003747152521634289,0.9137931034482759,0.603448275862069,0.1206896551724138,0.9310344827586207,0.1206896551724138,0.22413793103448276,False,auto_runtime_visible,0.5001189449204307
bar,0.0721454000004087,0.2750668999997288,0.4250259000000369,0.8520432000000255,True,0.7258633458060493,0.5601175163704396,6807,cuda,30,64,2,True,0.5114912500001184,0.48850874999988153,0.17508574992204554,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.054210939435307,6.0,0.24665712143218813,0.0994608135858511,0.9588904797613019,0.4984140025522431,0.4130240856378234,0.39559471365638765,1.0,0.8978314551465212,0.3889755874656004,0.5517241379310345,0.5862068965517241,0.3103448275862069,0.9310344827586207,0.9827586206896551,0.43103448275862066,False,auto_runtime_visible,0.4929317088847044
cavlc,0.016298100000312843,0.2356184000000212,0.09162949999972625,0.3613492000004044,True,0.7583516886930983,0.8314289647577092,1396,cuda,30,64,2,True,0.4905600123155461,0.5094399876844539,0.17951541850220265,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.951792849884219,6.0,0.25304970123352954,0.10048440668774915,0.9578250497944117,0.35883497161110306,0.32567049808429116,0.384,0.6829268292682927,0.21287422181497825,0.1697765369362562,0.7068965517241379,0.6379310344827587,0.5,0.8793103448275862,0.39655172413793105,0.3620689655172414,False,auto_runtime_visible,0.49511229409838664
ctrl,0.004753499999878841,0.21798179999996137,0.026773499999762862,0.254946800000198,True,0.6466161809815951,0.5218558282208589,357,cuda,30,64,2,True,0.4919119959723879,0.5080880040276121,0.15337423312883436,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.393547289850952,6.0,0.22760651792914338,0.09621354212497554,0.9620655803451428,0.39666589635433736,0.1875,0.22580645161290322,1.0,0.9085365140084226,0.39473699980978383,0.8103448275862069,0.29310344827586204,0.2413793103448276,0.9310344827586207,0.9482758620689655,0.39655172413793105,False,auto_runtime_visible,0.4962858311043628
dec,0.004412100000081409,0.22929040000008172,0.02694100000007893,0.2661161999999422,True,0.5,0.4406028368794326,616,cuda,30,64,2,True,0.48816547533201,0.5118345246679901,0.5106382978723405,index_mid,relative-structural-lowdim-index-tail,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,1.2646887138055745,6.0,0.790708408388417,0.1376521471731656,0.8682152652685972,0.7308745188507679,0.7272727272727273,0.7272727272727273,0.0,0.3695652173913043,0.608695652173913,0.08620689655172414,0.06896551724137931,0.06896551724137931,0.1206896551724138,0.8448275862068966,0.5344827586206896,True,auto_runtime_visible,0.47114960320862714
div,1.6783282999999756,0.780395100000078,10.232229000000189,14.562071899999864,True,0.7148905281610001,0.41747566441402006,8192,cuda,30,64,2,True,0.5131759949331166,0.4868240050668834,0.10092965439966387,inv_depth,relative-depth-frontier,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.476652653796476,6.0,0.1825932852080347,0.08713342035921946,0.9695677857986609,0.14743756735813227,0.1934321185422507,0.2008519947038167,0.11516916872059153,0.15588358749534026,0.8509073264270517,0.25862068965517243,0.3620689655172414,0.3620689655172414,0.9482758620689655,0.5344827586206896,0.8448275862068966,False,auto_runtime_visible,0.49986638960311386
hyp,7.738588100000015,2.766779300000053,49.679333999999926,69.47277329999997,True,0.7547691751748317,0.9881645763890833,8192,cuda,30,64,2,True,0.4943797400690323,0.5056202599309677,0.10005835504140874,index_mid,relative-mid-index,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.148551902595655,6.0,0.19422937146576058,0.0896977480785801,0.9676284380890399,0.053488998902720165,0.12808416029499484,1.2017641898306715e-05,0.058360186179735055,0.46762991893909395,0.902883205885923,0.017241379310344827,0.1896551724137931,0.017241379310344827,0.8793103448275862,0.9827586206896551,0.8448275862068966,False,auto_runtime_visible,0.49998831436488583
i2c,0.03277969999999186,0.2522521000000779,0.1946616000004724,0.5175435000001016,True,0.7207204092920354,0.6504655235988202,2861,cuda,30,64,2,True,0.491287944261059,0.508712055738941,0.1803834808259587,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.211699741931861,6.0,0.23743382987252334,0.09792689026036902,0.9604276950212461,0.43484029502299065,0.3292181069958848,0.3130081300813008,1.0,0.8960942739406756,0.4365326489130871,0.7758620689655172,0.5689655172413793,0.29310344827586204,0.9310344827586207,0.9482758620689655,0.46551724137931033,False,auto_runtime_visible,0.4945455779275471
int2float,0.007089800000358082,0.22675710000021354,0.040062099999886414,0.2850235000005341,True,0.7065662202380952,0.5923239087301587,531,cuda,30,64,2,True,0.48096261914412924,0.5190373808558707,0.1984126984126984,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.98949948033654,6.0,0.2506580098402829,0.10010511557344919,0.9582236650266195,0.4360574310846462,0.2549019607843137,0.391304347826087,1.0,0.5279983784870849,0.2803725193895713,0.5,0.29310344827586204,0.3448275862068966,0.9137931034482759,0.9137931034482759,0.3620689655172414,False,auto_runtime_visible,0.4952213080144091
