node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,suite,circuit
545,0.9935817805383023,0.2277432712215321,0.9850931677018634,True,0.48189128151814054,0.5181087184818596,0.006418219461697738,0.59270358339407,0.9935986324840201,2404,mass_balance,relative-distance-regular-array,0.0,iscas85,c6288
546,0.9426501035196687,0.305175983436853,0.9403726708074535,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6112717291299493,0.9428308444202238,2360,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
549,0.9426501035196687,0.3047619047619048,0.9383022774327122,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6100594868417206,0.9428288753507703,2359,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
552,0.9426501035196687,0.30434782608695654,0.936231884057971,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6088472445534917,0.9428269062813168,2358,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
555,0.9426501035196687,0.3039337474120083,0.9349896480331263,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6080340840719033,0.9428255854484432,2357,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
558,0.9426501035196687,0.3031055900621118,0.9354037267080745,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6078045494319672,0.9428252126107255,2356,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
561,0.9426501035196687,0.3018633540372671,0.9358178053830227,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.607360477020403,0.942824491295004,2353,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
564,0.9426501035196687,0.3018633540372671,0.9366459627329192,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6077595588270432,0.9428251395315839,2352,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
567,0.9426501035196687,0.3018633540372671,0.9370600414078675,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6079590997303634,0.9428254636498739,2351,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
570,0.9426501035196687,0.3018633540372671,0.937888198757764,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6083581815370037,0.9428261118864537,2350,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
573,0.9426501035196687,0.3018633540372671,0.9387163561076605,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.608757263343644,0.9428267601230336,2349,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
576,0.9426501035196687,0.2981366459627329,0.9391304347826087,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6070259643023113,0.9428239479392893,2348,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
579,0.9426501035196687,0.2977225672877847,0.939544513457557,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6070109674340033,0.9428239235795755,2347,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
582,0.9426501035196687,0.2968944099378882,0.9399585921325052,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6067814327940673,0.9428235507418578,2346,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
585,0.9426501035196687,0.29606625258799174,0.9412008281573498,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6069509799607714,0.9428238261407199,2345,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
588,0.9426501035196687,0.2956521739130435,0.9428571428571428,True,0.48189128151814054,0.5181087184818596,0.057349896480331286,0.6075346058024239,0.9428247741358758,2344,mass_balance,relative-distance-regular-array,0.35281428445510304,iscas85,c6288
591,0.8768115942028986,0.6484472049689441,0.9279503105590062,True,0.48189128151814054,0.5181087184818596,0.12318840579710144,0.7831373147100393,0.8777994781094753,1290,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
594,0.805175983436853,0.5958592132505176,0.8960662525879918,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.74052636815762,0.8065032072125685,1289,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
597,0.805175983436853,0.5813664596273292,0.855072463768116,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.7132629967219425,0.8063527680110258,1288,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
600,0.805175983436853,0.580952380952381,0.8186335403726708,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.695488859458142,0.8062546903750891,1287,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
603,0.805175983436853,0.5805383022774327,0.7892339544513458,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6811069175507839,0.8061753308629216,1286,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
606,0.805175983436853,0.5801242236024845,0.7656314699792961,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6695185482899078,0.8061113862762112,1285,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
609,0.805175983436853,0.5786749482401656,0.7469979296066253,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6597883254398029,0.8060576949358039,1284,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
612,0.805175983436853,0.5786749482401656,0.7283643892339544,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6508089847903966,0.8060081469611207,1283,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
615,0.805175983436853,0.5786749482401656,0.7167701863354037,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6452218394974327,0.8059773171102066,1282,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
618,0.805175983436853,0.5786749482401656,0.7080745341614907,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6410314805277098,0.805954194722021,1281,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
621,0.805175983436853,0.5786749482401656,0.6985507246376812,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6364420397513466,0.8059288702016273,1280,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
624,0.805175983436853,0.5786749482401656,0.698136645962733,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6362424988480264,0.8059277691355232,1279,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
627,0.805175983436853,0.5768115942028985,0.7031055900621118,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6376715697155416,0.80593565474427,1278,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
630,0.805175983436853,0.5763975155279503,0.7089026915113872,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6402506045903955,0.8059498858509487,1277,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
633,0.805175983436853,0.575983436853002,0.7204968944099379,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6456232121117313,0.8059795318830845,1276,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
636,0.805175983436853,0.568944099378882,0.7461697722567288,True,0.48189128151814054,0.5181087184818596,0.19482401656314696,0.6543476059999024,0.8060276730623065,1275,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
639,0.720703933747412,0.5436853002070393,0.9134575569358178,True,0.48189128151814054,0.5181087184818596,0.27929606625258796,0.7218753268719253,0.7224590779171753,1274,mass_balance,relative-distance-regular-array,0.6569376765187014,iscas85,c6288
