circuit,load_seconds,gnn_seconds,rank_seconds,total_seconds,runtime_no_fi,gnn_nonrandom,gnn_struct_agree,train_nodes,device,epochs,hidden,layers,gnn_reliable,effective_gnn_weight,effective_struct_weight,residual_step,chosen_family,family_reason,family_selector_mode,adaptive_parameter_mode,frontier_metric_mode,structural_effective_dim,structural_active_features,frontier_fraction,core_fraction,tail_quantile,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,family_tail_separation,family_frontier_mean,family_peer_frontier_overlap_pct,family_gnn_frontier_overlap_pct,family_cache_frontier_overlap_pct,family_static_core_overlap_pct,family_tail_separation_pct,family_frontier_mean_pct,distance_guard_active,distance_guard_mode,final_score_mean
adder,0.024686499999916123,2.880202199999985,0.13204970000015237,3.0386638999998468,False,0.7260802469135803,0.8653023288439955,2296,cuda,30,64,2,True,0.5587065837879257,0.4412934162120743,0.1219603441825664,mass_balance,relative-mass-balance-frontier,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.9635258279583185,6.0,0.25230061400031734,0.10036607695580348,0.9579498976666138,0.20055218648726436,0.2768361581920904,0.4868421052631579,0.0,0.0883813389983521,0.9989771542795753,0.1896551724137931,0.603448275862069,0.7758620689655172,0.20689655172413793,0.3275862068965517,0.9827586206896551,False,auto_runtime_visible,0.4998386732646716
arbiter,0.3907251000000542,0.34782029999996666,1.7850988999998663,2.540085099999942,False,0.7569978917591802,0.2592635834756618,8192,cuda,30,64,2,True,0.48806859815911313,0.5119314018408869,0.09744520352974666,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.387999811182717,6.0,0.2278942668710976,0.09626492281252226,0.9620176221881505,0.37946213739983065,0.08827726809378185,0.07447665056360708,0.7013574660633484,-8.535546105914423e-05,0.0003747152521634289,0.9137931034482759,0.603448275862069,0.1206896551724138,0.9310344827586207,0.1206896551724138,0.22413793103448276,False,auto_runtime_visible,0.5001189449204307
bar,0.0748171000000184,0.27522769999995944,0.436517300000105,0.7932471000003716,False,0.7194515902712816,0.5601175163704396,6807,cuda,30,64,2,True,0.5114844521681011,0.48851554783189877,0.17508574992204554,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.054210939435307,6.0,0.24665712143218813,0.0994608135858511,0.9588904797613019,0.4984140025522431,0.4130240856378234,0.39559471365638765,1.0,0.8978314551465212,0.3889755874656004,0.5517241379310345,0.5862068965517241,0.3103448275862069,0.9310344827586207,0.9827586206896551,0.43103448275862066,False,auto_runtime_visible,0.49293167375910774
cavlc,0.018664800000351534,0.2494074000001092,0.09222159999990254,0.36120870000013383,False,0.7583516886930983,0.8314289647577092,1396,cuda,30,64,2,True,0.4905600123155461,0.5094399876844539,0.17951541850220265,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.951792849884219,6.0,0.25304970123352954,0.10048440668774915,0.9578250497944117,0.35883497161110306,0.32567049808429116,0.384,0.6829268292682927,0.21287422181497825,0.1697765369362562,0.7068965517241379,0.6379310344827587,0.5,0.8793103448275862,0.39655172413793105,0.3620689655172414,False,auto_runtime_visible,0.49511229409838664
ctrl,0.006267999999636231,0.23182300000007672,0.024786399999811692,0.2633336999997482,False,0.6466161809815951,0.5218558282208589,357,cuda,30,64,2,True,0.4919119959723879,0.5080880040276121,0.15337423312883436,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.393547289850952,6.0,0.22760651792914338,0.09621354212497554,0.9620655803451428,0.39666589635433736,0.1875,0.22580645161290322,1.0,0.9085365140084226,0.39473699980978383,0.8103448275862069,0.29310344827586204,0.2413793103448276,0.9310344827586207,0.9482758620689655,0.39655172413793105,False,auto_runtime_visible,0.4962858311043628
dec,0.0050409999998919375,0.2376961999998457,0.027125800000249,0.27006959999971514,False,0.5,0.4406028368794326,616,cuda,30,64,2,True,0.48816547533201,0.5118345246679901,0.5106382978723405,index_mid,relative-structural-lowdim-index-tail,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,1.2646887138055745,6.0,0.790708408388417,0.1376521471731656,0.8682152652685972,0.7308745188507679,0.7272727272727273,0.7272727272727273,0.0,0.3695652173913043,0.608695652173913,0.08620689655172414,0.06896551724137931,0.06896551724137931,0.1206896551724138,0.8448275862068966,0.5344827586206896,True,auto_runtime_visible,0.47114960320862714
div,1.937583800000084,0.7881967999996959,10.309896899999785,13.116313600000012,False,0.7148905281610001,0.41747566441402006,8192,cuda,30,64,2,True,0.5131759949331166,0.4868240050668834,0.10092965439966387,inv_depth,relative-depth-frontier,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.476652653796476,6.0,0.1825932852080347,0.08713342035921946,0.9695677857986609,0.14743756735813227,0.1934321185422507,0.2008519947038167,0.11516916872059153,0.15588358749534026,0.8509073264270517,0.25862068965517243,0.3620689655172414,0.3620689655172414,0.9482758620689655,0.5344827586206896,0.8448275862068966,False,auto_runtime_visible,0.49986638960311386
hyp,8.952750899999955,2.689844699999867,50.449818499999765,62.52025670000012,False,0.7547691751748317,0.9881645763890833,8192,cuda,30,64,2,True,0.4943797400690323,0.5056202599309677,0.10005835504140874,index_mid,relative-mid-index,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.148551902595655,6.0,0.19422937146576058,0.0896977480785801,0.9676284380890399,0.053488998902720165,0.12808416029499484,1.2017641898306715e-05,0.058360186179735055,0.46762991893909395,0.902883205885923,0.017241379310344827,0.1896551724137931,0.017241379310344827,0.8793103448275862,0.9827586206896551,0.8448275862068966,False,auto_runtime_visible,0.49998831436488583
i2c,0.03707140000005893,0.26978939999980867,0.19362969999974666,0.5027992000000268,False,0.7207204092920354,0.6504655235988202,2861,cuda,30,64,2,True,0.4917133667390419,0.5082866332609581,0.1803834808259587,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.211699741931861,6.0,0.23743382987252334,0.09792689026036902,0.9604276950212461,0.43484029502299065,0.3292181069958848,0.3130081300813008,1.0,0.8960942739406756,0.4365326489130871,0.7758620689655172,0.5689655172413793,0.29310344827586204,0.9310344827586207,0.9482758620689655,0.46551724137931033,False,auto_runtime_visible,0.4945480669890869
int2float,0.008705499999905442,0.23692720000008194,0.03827709999995932,0.2843173000001116,False,0.7065662202380952,0.5923239087301587,531,cuda,30,64,2,True,0.48096261914412924,0.5190373808558707,0.1984126984126984,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.98949948033654,6.0,0.2506580098402829,0.10010511557344919,0.9582236650266195,0.4360574310846462,0.2549019607843137,0.391304347826087,1.0,0.5279983784870849,0.2803725193895713,0.5,0.29310344827586204,0.3448275862068966,0.9137931034482759,0.9137931034482759,0.3620689655172414,False,auto_runtime_visible,0.4952213080144091
log2,0.9227326000000176,0.5245489999997517,5.120843900000182,6.599479500000143,False,0.7600679212071065,0.7770113888281762,8192,cuda,30,64,2,True,0.49881312729174476,0.5011868727082553,0.1009523214787523,sink_reach_near_pr,relative-sink-gnn-frontier,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.482178349896464,6.0,0.18240924249005616,0.08709148817645887,0.9695984595849907,0.2936986783904086,0.1922056723117731,0.366623786691615,0.056818181818181816,0.027679610216271733,0.02705944860761199,0.9482758620689655,0.5689655172413793,0.8448275862068966,0.5344827586206896,0.43103448275862066,0.25862068965517243,False,auto_runtime_visible,0.49987805952937386
max,0.07824630000004618,0.2776128999998946,0.4612704000001031,0.821192500000052,False,0.7329890956474031,0.7985895208485735,6242,cuda,30,64,2,True,0.4645505536512126,0.5354494463487874,0.1714216044867106,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.474128557914539,6.0,0.2235072119756245,0.09547333646619914,0.9627487980040625,0.28275254473848144,0.04974271012006861,0.2776617954070981,0.9773584905660377,0.9033089289727594,0.42922188050437987,0.5689655172413793,0.1206896551724138,0.6724137931034483,0.8448275862068966,0.9827586206896551,0.5689655172413793,False,auto_runtime_visible,0.49817721715888963
mem_ctrl,1.4463863000000856,0.6679453000001558,8.008950500000083,10.183415299999979,False,0.7284421169521748,0.7340244167781104,8192,cuda,30,64,2,True,0.5214107875469832,0.4785892124530169,0.09760343034239741,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.214659538342668,6.0,0.19176707369812712,0.08916900210666427,0.9680388210503121,0.30909579602099463,0.21749090419080985,0.05321443142740572,0.9626255547769212,-0.025726716057539428,0.13414507903888084,0.603448275862069,0.3275862068965517,0.017241379310344827,0.8793103448275862,0.017241379310344827,0.43103448275862066,False,auto_runtime_visible,0.499887142227999
multiplier,0.8702370000000883,0.4683821999997235,4.532509200000277,5.9134790000002795,False,0.7647588460253221,0.8832798054431366,8192,cuda,30,64,2,True,0.4703481243262187,0.5296518756737814,0.1008205547098355,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.125677394277476,6.0,0.19509616448285302,0.0898821675805873,0.9674839725861911,0.21520824178447523,0.25717703349282295,0.24910862847634893,0.09226257613354387,-0.0008875662571377818,0.029890366662898335,0.3620689655172414,0.603448275862069,0.6379310344827587,0.7413793103448276,0.05172413793103448,0.1896551724137931,False,auto_runtime_visible,0.49991019432134504
priority,0.02592659999982061,0.2429999000000862,0.13251720000016576,0.4031230999999025,False,0.7394088273195876,0.6714400773195875,2084,cuda,30,64,2,True,0.5260544988329899,0.47394550116701006,0.10824742268041238,wl3_common_dist,relative-wl-common-cache-repair,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.935091744047706,6.0,0.20263047818839766,0.09144870691590946,0.9662282536352671,0.25195246777618124,0.13872832369942195,0.2507936507936508,0.14838709677419354,1.2014450113480663e-07,8.716311606127802e-08,0.25862068965517243,0.1206896551724138,0.4827586206896552,0.43103448275862066,0.29310344827586204,0.1206896551724138,False,auto_runtime_visible,0.4980499133972866
router,0.008066500000040833,0.23520670000016253,0.03595480000012685,0.2795933000002151,False,0.7233819169960474,0.7183794466403162,628,cuda,30,64,2,True,0.4790572944617201,0.5209427055382799,0.11660079051383401,pdom_dist,relative-pdom-static-aligned,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.773593353641935,6.0,0.2094857952735053,0.0928195419276668,0.9650857007877491,0.3818536635397788,0.17391304347826086,0.42105263157894735,0.7142857142857143,0.10874847005178259,0.09849313610911163,0.7413793103448276,0.3620689655172414,0.8448275862068966,0.8793103448275862,0.1896551724137931,0.15517241379310345,False,auto_runtime_visible,0.4985467162445472
sin,0.1345048000002862,0.2936703000000307,0.8155996999998933,1.2539245000002666,False,0.7715865607606679,0.8360331632653061,8192,cuda,30,64,2,True,0.5114723649811346,0.48852763501886554,0.10211502782931355,mass_balance,relative-mass-balance-frontier,segr_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.378676768406343,6.0,0.1859193335196998,0.08788368106004793,0.9690134444133833,0.22612194299005003,0.1820860341779611,0.44942196531791906,0.037199124726477024,0.42710116577011714,0.9999999933582552,0.43103448275862066,0.5,0.9482758620689655,0.39655172413793105,0.8793103448275862,0.9827586206896551,False,auto_runtime_visible,0.49981467678480856
