circuit,label_mode,budget,n_nodes,budget_nodes,rank_mode,gnn_nonrandom,gnn_reliable,gnn_struct_agree,gnn_participated,frontier_source,global_rank_prefix_consistent,runtime_no_fi,chosen_family,family_reason,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,method,rank_action,selected,fault_instance_total,fault_instance_selected,fault_instance_snc,fault_instance_nsde,fault_instance_oracle
bar,unsupervised,0.2,3208,642,segr_structure_derived_global_rank,0.7194515902712816,True,0.5601175163704396,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.4984140025522431,0.4130240856378234,0.39559471365638765,1.0,segr_structure_derived_selector,global_rank_prefix,642,4989,1110,0.22248947684906795,0.8644859813084113,1284
cavlc,unsupervised,0.05,682,35,segr_structure_derived_global_rank,0.7583516886930983,True,0.8314289647577092,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.35883497161110306,0.32567049808429116,0.384,0.6829268292682927,pure_static_proximity,static_proximity_global_prefix,35,219,31,0.1415525114155251,0.8157894736842105,38
cavlc,unsupervised,0.05,682,35,segr_structure_derived_global_rank,0.7583516886930983,True,0.8314289647577092,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.35883497161110306,0.32567049808429116,0.384,0.6829268292682927,segr_structure_derived_selector,global_rank_prefix,35,219,31,0.1415525114155251,0.8157894736842105,38
cavlc,unsupervised,0.1,682,69,segr_structure_derived_global_rank,0.7583516886930983,True,0.8314289647577092,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.35883497161110306,0.32567049808429116,0.384,0.6829268292682927,pure_static_proximity,static_proximity_global_prefix,69,219,47,0.2146118721461187,0.6527777777777778,72
cavlc,unsupervised,0.1,682,69,segr_structure_derived_global_rank,0.7583516886930983,True,0.8314289647577092,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.35883497161110306,0.32567049808429116,0.384,0.6829268292682927,segr_structure_derived_selector,global_rank_prefix,69,219,51,0.2328767123287671,0.7083333333333334,72
cavlc,unsupervised,0.2,682,137,segr_structure_derived_global_rank,0.7583516886930983,True,0.8314289647577092,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.35883497161110306,0.32567049808429116,0.384,0.6829268292682927,pure_static_proximity,static_proximity_global_prefix,137,219,74,0.3378995433789954,0.5285714285714286,140
cavlc,unsupervised,0.2,682,137,segr_structure_derived_global_rank,0.7583516886930983,True,0.8314289647577092,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.35883497161110306,0.32567049808429116,0.384,0.6829268292682927,segr_structure_derived_selector,global_rank_prefix,137,219,92,0.4200913242009132,0.6571428571428571,140
ctrl,unsupervised,0.05,164,9,segr_structure_derived_global_rank,0.6466161809815951,True,0.5218558282208589,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.39666589635433736,0.1875,0.22580645161290322,1.0,pure_static_proximity,static_proximity_global_prefix,9,162,10,0.06172839506172839,0.5555555555555556,18
ctrl,unsupervised,0.05,164,9,segr_structure_derived_global_rank,0.6466161809815951,True,0.5218558282208589,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.39666589635433736,0.1875,0.22580645161290322,1.0,segr_structure_derived_selector,global_rank_prefix,9,162,10,0.06172839506172839,0.5555555555555556,18
ctrl,unsupervised,0.1,164,17,segr_structure_derived_global_rank,0.6466161809815951,True,0.5218558282208589,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.39666589635433736,0.1875,0.22580645161290322,1.0,pure_static_proximity,static_proximity_global_prefix,17,162,21,0.12962962962962962,0.6176470588235294,34
ctrl,unsupervised,0.1,164,17,segr_structure_derived_global_rank,0.6466161809815951,True,0.5218558282208589,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.39666589635433736,0.1875,0.22580645161290322,1.0,segr_structure_derived_selector,global_rank_prefix,17,162,21,0.12962962962962962,0.6176470588235294,34
