method,paired_rows,mean_delta_segr_minus_method,bootstrap_ci95_low,bootstrap_ci95_high,positive_rows,negative_rows,zero_rows
centrality_only,60,0.38433162735926635,0.3157961197587026,0.4539727681047279,55,0,5
cone_centrality_proxy,60,0.24969146457943345,0.18510522973089658,0.3151835274574611,47,7,6
equal_rank_fusion_static_cache_gnn,60,0.20409320043190188,0.15491701955134618,0.256590285756519,52,5,3
max_visible_signal,60,0.2937498104296153,0.2361126890195834,0.35369415051325437,52,3,5
observability_cone_proxy,60,0.09606213106879143,0.06173504100600029,0.1329881743749203,40,13,7
rrf_static_cache_gnn,60,0.2036269545680178,0.1695951958254894,0.23906667349189298,57,0,3
structural_borda_no_gnn,60,0.23624243772553002,0.18322491008274264,0.2926520220615826,52,5,3
