circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss
bar,7089,128,0.1,equal_rank_fusion_static_cache_gnn,21576.0,28736.0,28736.0,0.7508351893095768,True
bar,7089,128,0.2,equal_rank_fusion_static_cache_gnn,38414.0,39326.0,39500.0,0.9725063291139241,True
bar,7089,128,0.05,rrf_static_cache_gnn,10278.0,15463.0,16311.0,0.6301269082214457,True
bar,7089,128,0.1,rrf_static_cache_gnn,20107.0,28736.0,28736.0,0.6997146436525612,True
bar,7089,128,0.2,rrf_static_cache_gnn,35408.0,39326.0,39500.0,0.8964050632911392,True
bar,7089,128,0.05,max_visible_signal,6269.0,15463.0,16311.0,0.3843418551897492,True
bar,7089,128,0.1,max_visible_signal,6445.0,28736.0,28736.0,0.22428312917594656,True
bar,7089,128,0.2,max_visible_signal,15214.0,39326.0,39500.0,0.38516455696202534,True
cavlc,7089,128,0.05,centrality_only,225.0,2088.0,2488.0,0.09043408360128617,True
cavlc,7089,128,0.1,centrality_only,530.0,2810.0,3300.0,0.1606060606060606,True
cavlc,7089,128,0.2,centrality_only,1921.0,3512.0,3979.0,0.4827846192510681,True
cavlc,7089,128,0.05,scoap_proxy,2088.0,2088.0,2488.0,0.8392282958199357,False
cavlc,7089,128,0.1,scoap_proxy,2991.0,2810.0,3300.0,0.9063636363636364,False
cavlc,7089,128,0.2,scoap_proxy,3636.0,3512.0,3979.0,0.9137974365418446,False
cavlc,7089,128,0.05,observability_cone_proxy,2229.0,2088.0,2488.0,0.8959003215434084,False
cavlc,7089,128,0.1,observability_cone_proxy,2931.0,2810.0,3300.0,0.8881818181818182,False
cavlc,7089,128,0.2,observability_cone_proxy,3534.0,3512.0,3979.0,0.8881628549886906,False
cavlc,7089,128,0.05,cone_centrality_proxy,1257.0,2088.0,2488.0,0.5052250803858521,True
cavlc,7089,128,0.1,cone_centrality_proxy,2016.0,2810.0,3300.0,0.610909090909091,True
cavlc,7089,128,0.2,cone_centrality_proxy,2645.0,3512.0,3979.0,0.6647398843930635,True
cavlc,7089,128,0.05,structural_borda_no_gnn,1719.0,2088.0,2488.0,0.6909163987138264,True
cavlc,7089,128,0.1,structural_borda_no_gnn,2267.0,2810.0,3300.0,0.686969696969697,True
cavlc,7089,128,0.2,structural_borda_no_gnn,2932.0,3512.0,3979.0,0.7368685599396834,True
cavlc,7089,128,0.05,equal_rank_fusion_static_cache_gnn,1709.0,2088.0,2488.0,0.6868971061093248,True
cavlc,7089,128,0.1,equal_rank_fusion_static_cache_gnn,2172.0,2810.0,3300.0,0.6581818181818182,True
cavlc,7089,128,0.2,equal_rank_fusion_static_cache_gnn,3380.0,3512.0,3979.0,0.8494596632319679,True
cavlc,7089,128,0.05,rrf_static_cache_gnn,1604.0,2088.0,2488.0,0.6446945337620579,True
cavlc,7089,128,0.1,rrf_static_cache_gnn,2661.0,2810.0,3300.0,0.8063636363636364,True
cavlc,7089,128,0.2,rrf_static_cache_gnn,3438.0,3512.0,3979.0,0.8640361899974868,True
cavlc,7089,128,0.05,max_visible_signal,1166.0,2088.0,2488.0,0.46864951768488744,True
cavlc,7089,128,0.1,max_visible_signal,1912.0,2810.0,3300.0,0.5793939393939394,True
cavlc,7089,128,0.2,max_visible_signal,2829.0,3512.0,3979.0,0.7109826589595376,True
ctrl,7089,128,0.05,centrality_only,599.0,1152.0,1152.0,0.5199652777777778,True
ctrl,7089,128,0.1,centrality_only,1152.0,2123.0,2176.0,0.5294117647058824,True
ctrl,7089,128,0.2,centrality_only,2330.0,3423.0,3890.0,0.5989717223650386,True
ctrl,7089,128,0.05,scoap_proxy,1152.0,1152.0,1152.0,1.0,False
ctrl,7089,128,0.1,scoap_proxy,2123.0,2123.0,2176.0,0.9756433823529411,False
ctrl,7089,128,0.2,scoap_proxy,3423.0,3423.0,3890.0,0.8799485861182519,False
ctrl,7089,128,0.05,observability_cone_proxy,1152.0,1152.0,1152.0,1.0,False
ctrl,7089,128,0.1,observability_cone_proxy,2073.0,2123.0,2176.0,0.9526654411764706,True
ctrl,7089,128,0.2,observability_cone_proxy,3524.0,3423.0,3890.0,0.9059125964010283,False
ctrl,7089,128,0.05,cone_centrality_proxy,816.0,1152.0,1152.0,0.7083333333333334,True
ctrl,7089,128,0.1,cone_centrality_proxy,1391.0,2123.0,2176.0,0.6392463235294118,True
ctrl,7089,128,0.2,cone_centrality_proxy,2650.0,3423.0,3890.0,0.6812339331619537,True
ctrl,7089,128,0.05,structural_borda_no_gnn,757.0,1152.0,1152.0,0.6571180555555556,True
ctrl,7089,128,0.1,structural_borda_no_gnn,1509.0,2123.0,2176.0,0.6934742647058824,True
ctrl,7089,128,0.2,structural_borda_no_gnn,3240.0,3423.0,3890.0,0.8329048843187661,True
ctrl,7089,128,0.05,equal_rank_fusion_static_cache_gnn,769.0,1152.0,1152.0,0.6675347222222222,True
ctrl,7089,128,0.1,equal_rank_fusion_static_cache_gnn,1562.0,2123.0,2176.0,0.7178308823529411,True
ctrl,7089,128,0.2,equal_rank_fusion_static_cache_gnn,2989.0,3423.0,3890.0,0.7683804627249358,True
ctrl,7089,128,0.05,rrf_static_cache_gnn,719.0,1152.0,1152.0,0.6241319444444444,True
ctrl,7089,128,0.1,rrf_static_cache_gnn,1617.0,2123.0,2176.0,0.7431066176470589,True
ctrl,7089,128,0.2,rrf_static_cache_gnn,3081.0,3423.0,3890.0,0.7920308483290488,True
ctrl,7089,128,0.05,max_visible_signal,1058.0,1152.0,1152.0,0.9184027777777778,True
ctrl,7089,128,0.1,max_visible_signal,2082.0,2123.0,2176.0,0.9568014705882353,True
ctrl,7089,128,0.2,max_visible_signal,3099.0,3423.0,3890.0,0.7966580976863753,True
dec,7089,128,0.05,centrality_only,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,centrality_only,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,centrality_only,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,scoap_proxy,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,scoap_proxy,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,scoap_proxy,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,observability_cone_proxy,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,observability_cone_proxy,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,observability_cone_proxy,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,cone_centrality_proxy,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,cone_centrality_proxy,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,cone_centrality_proxy,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,structural_borda_no_gnn,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,structural_borda_no_gnn,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,structural_borda_no_gnn,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,equal_rank_fusion_static_cache_gnn,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,equal_rank_fusion_static_cache_gnn,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,equal_rank_fusion_static_cache_gnn,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,rrf_static_cache_gnn,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,rrf_static_cache_gnn,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,rrf_static_cache_gnn,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,max_visible_signal,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,max_visible_signal,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,max_visible_signal,1280.0,1280.0,1280.0,1.0,False
div,7089,128,0.05,centrality_only,20014.0,34215.0,120176.0,0.16653907602183465,True
div,7089,128,0.1,centrality_only,28245.0,47417.0,143757.0,0.1964773889271479,True
div,7089,128,0.2,centrality_only,43389.0,81956.0,151704.0,0.2860109159943047,True
div,7089,128,0.05,scoap_proxy,73740.0,34215.0,120176.0,0.6136000532552257,False
div,7089,128,0.1,scoap_proxy,89560.0,47417.0,143757.0,0.622995749772185,False
div,7089,128,0.2,scoap_proxy,101867.0,81956.0,151704.0,0.671485260770975,False
div,7089,128,0.05,observability_cone_proxy,54141.0,34215.0,120176.0,0.4505142457728665,False
div,7089,128,0.1,observability_cone_proxy,72180.0,47417.0,143757.0,0.5020972891754836,False
div,7089,128,0.2,observability_cone_proxy,91731.0,81956.0,151704.0,0.6046709381426989,False
div,7089,128,0.05,cone_centrality_proxy,29474.0,34215.0,120176.0,0.245256956463853,True
div,7089,128,0.1,cone_centrality_proxy,43809.0,47417.0,143757.0,0.30474342118992465,True
div,7089,128,0.2,cone_centrality_proxy,65601.0,81956.0,151704.0,0.43242762221167536,True
div,7089,128,0.05,structural_borda_no_gnn,39212.0,34215.0,120176.0,0.3262881107708694,False
div,7089,128,0.1,structural_borda_no_gnn,61223.0,47417.0,143757.0,0.42587839200873695,False
div,7089,128,0.2,structural_borda_no_gnn,85371.0,81956.0,151704.0,0.5627471919000159,False
div,7089,128,0.05,equal_rank_fusion_static_cache_gnn,58237.0,34215.0,120176.0,0.4845975902010385,False
div,7089,128,0.1,equal_rank_fusion_static_cache_gnn,75581.0,47417.0,143757.0,0.5257552675695792,False
div,7089,128,0.2,equal_rank_fusion_static_cache_gnn,99029.0,81956.0,151704.0,0.6527777777777778,False
div,7089,128,0.05,rrf_static_cache_gnn,50880.0,34215.0,120176.0,0.42337904406869925,False
div,7089,128,0.1,rrf_static_cache_gnn,68681.0,47417.0,143757.0,0.4777576048470683,False
div,7089,128,0.2,rrf_static_cache_gnn,98635.0,81956.0,151704.0,0.6501806148816116,False
div,7089,128,0.05,max_visible_signal,51319.0,34215.0,120176.0,0.4270320197044335,False
div,7089,128,0.1,max_visible_signal,81285.0,47417.0,143757.0,0.5654333354201883,False
div,7089,128,0.2,max_visible_signal,98738.0,81956.0,151704.0,0.650859568633655,False
hyp,7089,128,0.05,centrality_only,549964.0,764617.0,1316997.0,0.4175894098467954,True
hyp,7089,128,0.1,centrality_only,899939.0,1083944.0,2574553.0,0.34955155322108344,True
hyp,7089,128,0.2,centrality_only,1907825.0,1536353.0,4877593.0,0.39114067122861623,False
hyp,7089,128,0.05,scoap_proxy,300351.0,764617.0,1316997.0,0.2280574671012918,True
hyp,7089,128,0.1,scoap_proxy,701957.0,1083944.0,2574553.0,0.2726519904620336,True
hyp,7089,128,0.2,scoap_proxy,1583625.0,1536353.0,4877593.0,0.3246734608648159,False
hyp,7089,128,0.05,observability_cone_proxy,342172.0,764617.0,1316997.0,0.2598122850697458,True
hyp,7089,128,0.1,observability_cone_proxy,783365.0,1083944.0,2574553.0,0.3042722367727524,True
hyp,7089,128,0.2,observability_cone_proxy,1688723.0,1536353.0,4877593.0,0.3462205641184084,False
hyp,7089,128,0.05,cone_centrality_proxy,527541.0,764617.0,1316997.0,0.40056355481447564,True
hyp,7089,128,0.1,cone_centrality_proxy,1012308.0,1083944.0,2574553.0,0.39319757643365666,True
hyp,7089,128,0.2,cone_centrality_proxy,2035136.0,1536353.0,4877593.0,0.4172418649936557,False
hyp,7089,128,0.05,structural_borda_no_gnn,394374.0,764617.0,1316997.0,0.29944942926977053,True
hyp,7089,128,0.1,structural_borda_no_gnn,828251.0,1083944.0,2574553.0,0.3217067195742329,True
hyp,7089,128,0.2,structural_borda_no_gnn,1778405.0,1536353.0,4877593.0,0.36460709206364694,False
hyp,7089,128,0.05,equal_rank_fusion_static_cache_gnn,334514.0,764617.0,1316997.0,0.25399754137632813,True
hyp,7089,128,0.1,equal_rank_fusion_static_cache_gnn,802082.0,1083944.0,2574553.0,0.31154223665234315,True
hyp,7089,128,0.2,equal_rank_fusion_static_cache_gnn,1841410.0,1536353.0,4877593.0,0.3775243239852116,False
hyp,7089,128,0.05,rrf_static_cache_gnn,529251.0,764617.0,1316997.0,0.40186196323909623,True
hyp,7089,128,0.1,rrf_static_cache_gnn,1152346.0,1083944.0,2574553.0,0.44759070797921036,False
hyp,7089,128,0.2,rrf_static_cache_gnn,2179130.0,1536353.0,4877593.0,0.4467633933376565,False
hyp,7089,128,0.05,max_visible_signal,488342.0,764617.0,1316997.0,0.3707996297637732,True
hyp,7089,128,0.1,max_visible_signal,1106286.0,1083944.0,2574553.0,0.42970022368931615,False
hyp,7089,128,0.2,max_visible_signal,2381142.0,1536353.0,4877593.0,0.4881797230724253,False
i2c,7089,128,0.05,centrality_only,3112.0,8704.0,8704.0,0.35753676470588236,True
i2c,7089,128,0.1,centrality_only,5017.0,17408.0,17408.0,0.28820082720588236,True
i2c,7089,128,0.2,centrality_only,10126.0,27645.0,28648.0,0.3534627199106395,True
i2c,7089,128,0.05,scoap_proxy,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,scoap_proxy,17408.0,17408.0,17408.0,1.0,False
i2c,7089,128,0.2,scoap_proxy,27645.0,27645.0,28648.0,0.9649888299357722,False
i2c,7089,128,0.05,observability_cone_proxy,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,observability_cone_proxy,17302.0,17408.0,17408.0,0.9939108455882353,True
i2c,7089,128,0.2,observability_cone_proxy,27356.0,27645.0,28648.0,0.9549008656799777,True
i2c,7089,128,0.05,cone_centrality_proxy,3664.0,8704.0,8704.0,0.4209558823529412,True
i2c,7089,128,0.1,cone_centrality_proxy,6979.0,17408.0,17408.0,0.40090762867647056,True
i2c,7089,128,0.2,cone_centrality_proxy,12157.0,27645.0,28648.0,0.42435772130689753,True
i2c,7089,128,0.05,structural_borda_no_gnn,5638.0,8704.0,8704.0,0.6477481617647058,True
i2c,7089,128,0.1,structural_borda_no_gnn,11922.0,17408.0,17408.0,0.6848575367647058,True
i2c,7089,128,0.2,structural_borda_no_gnn,22591.0,27645.0,28648.0,0.7885716280368612,True
i2c,7089,128,0.05,equal_rank_fusion_static_cache_gnn,4903.0,8704.0,8704.0,0.5633042279411765,True
i2c,7089,128,0.1,equal_rank_fusion_static_cache_gnn,10544.0,17408.0,17408.0,0.6056985294117647,True
i2c,7089,128,0.2,equal_rank_fusion_static_cache_gnn,22166.0,27645.0,28648.0,0.7737363864842223,True
i2c,7089,128,0.05,rrf_static_cache_gnn,5274.0,8704.0,8704.0,0.6059283088235294,True
i2c,7089,128,0.1,rrf_static_cache_gnn,11701.0,17408.0,17408.0,0.6721622242647058,True
i2c,7089,128,0.2,rrf_static_cache_gnn,20784.0,27645.0,28648.0,0.7254956716001117,True
i2c,7089,128,0.05,max_visible_signal,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,max_visible_signal,17408.0,17408.0,17408.0,1.0,False
i2c,7089,128,0.2,max_visible_signal,22341.0,27645.0,28648.0,0.7798450153588383,True
int2float,7089,128,0.05,centrality_only,88.0,535.0,591.0,0.14890016920473773,True
int2float,7089,128,0.1,centrality_only,271.0,869.0,938.0,0.2889125799573561,True
int2float,7089,128,0.2,centrality_only,617.0,1151.0,1324.0,0.466012084592145,True
int2float,7089,128,0.05,scoap_proxy,535.0,535.0,591.0,0.9052453468697124,False
int2float,7089,128,0.1,scoap_proxy,869.0,869.0,938.0,0.9264392324093816,False
int2float,7089,128,0.2,scoap_proxy,1202.0,1151.0,1324.0,0.9078549848942599,False
int2float,7089,128,0.05,observability_cone_proxy,530.0,535.0,591.0,0.8967851099830795,True
int2float,7089,128,0.1,observability_cone_proxy,819.0,869.0,938.0,0.8731343283582089,True
int2float,7089,128,0.2,observability_cone_proxy,1155.0,1151.0,1324.0,0.872356495468278,False
int2float,7089,128,0.05,cone_centrality_proxy,366.0,535.0,591.0,0.6192893401015228,True
int2float,7089,128,0.1,cone_centrality_proxy,551.0,869.0,938.0,0.5874200426439232,True
int2float,7089,128,0.2,cone_centrality_proxy,923.0,1151.0,1324.0,0.697129909365559,True
int2float,7089,128,0.05,structural_borda_no_gnn,451.0,535.0,591.0,0.7631133671742809,True
int2float,7089,128,0.1,structural_borda_no_gnn,667.0,869.0,938.0,0.7110874200426439,True
int2float,7089,128,0.2,structural_borda_no_gnn,1066.0,1151.0,1324.0,0.8051359516616314,True
int2float,7089,128,0.05,equal_rank_fusion_static_cache_gnn,433.0,535.0,591.0,0.7326565143824028,True
int2float,7089,128,0.1,equal_rank_fusion_static_cache_gnn,650.0,869.0,938.0,0.6929637526652452,True
int2float,7089,128,0.2,equal_rank_fusion_static_cache_gnn,993.0,1151.0,1324.0,0.75,True
int2float,7089,128,0.05,rrf_static_cache_gnn,469.0,535.0,591.0,0.7935702199661591,True
int2float,7089,128,0.1,rrf_static_cache_gnn,640.0,869.0,938.0,0.6823027718550106,True
int2float,7089,128,0.2,rrf_static_cache_gnn,987.0,1151.0,1324.0,0.7454682779456193,True
int2float,7089,128,0.05,max_visible_signal,259.0,535.0,591.0,0.43824027072758037,True
int2float,7089,128,0.1,max_visible_signal,512.0,869.0,938.0,0.5458422174840085,True
int2float,7089,128,0.2,max_visible_signal,685.0,1151.0,1324.0,0.5173716012084593,True
log2,7089,128,0.05,centrality_only,82678.0,50268.0,197008.0,0.41966823682287013,False
log2,7089,128,0.1,centrality_only,157832.0,74897.0,353573.0,0.4463915513910847,False
log2,7089,128,0.2,centrality_only,278344.0,145152.0,574667.0,0.4843570276351348,False
log2,7089,128,0.05,scoap_proxy,128347.0,50268.0,197008.0,0.6514811581255584,False
log2,7089,128,0.1,scoap_proxy,217703.0,74897.0,353573.0,0.6157229200193454,False
log2,7089,128,0.2,scoap_proxy,380860.0,145152.0,574667.0,0.6627490355284017,False
log2,7089,128,0.05,observability_cone_proxy,137291.0,50268.0,197008.0,0.6968803297328028,False
log2,7089,128,0.1,observability_cone_proxy,233128.0,74897.0,353573.0,0.6593489887519692,False
log2,7089,128,0.2,observability_cone_proxy,383153.0,145152.0,574667.0,0.666739172425074,False
log2,7089,128,0.05,cone_centrality_proxy,111579.0,50268.0,197008.0,0.5663678632339804,False
log2,7089,128,0.1,cone_centrality_proxy,216113.0,74897.0,353573.0,0.6112259703088189,False
log2,7089,128,0.2,cone_centrality_proxy,406649.0,145152.0,574667.0,0.7076254596140026,False
log2,7089,128,0.05,structural_borda_no_gnn,118511.0,50268.0,197008.0,0.6015542516039958,False
log2,7089,128,0.1,structural_borda_no_gnn,220655.0,74897.0,353573.0,0.6240719738215305,False
log2,7089,128,0.2,structural_borda_no_gnn,401363.0,145152.0,574667.0,0.6984270890794146,False
log2,7089,128,0.05,equal_rank_fusion_static_cache_gnn,119215.0,50268.0,197008.0,0.6051277105498254,False
log2,7089,128,0.1,equal_rank_fusion_static_cache_gnn,217015.0,74897.0,353573.0,0.6137770700817087,False
log2,7089,128,0.2,equal_rank_fusion_static_cache_gnn,386774.0,145152.0,574667.0,0.6730402128537049,False
log2,7089,128,0.05,rrf_static_cache_gnn,96204.0,50268.0,197008.0,0.4883253471940226,False
log2,7089,128,0.1,rrf_static_cache_gnn,161183.0,74897.0,353573.0,0.45586908502628876,False
log2,7089,128,0.2,rrf_static_cache_gnn,276032.0,145152.0,574667.0,0.4803338281126287,False
log2,7089,128,0.05,max_visible_signal,62273.0,50268.0,197008.0,0.31609376268984,False
log2,7089,128,0.1,max_visible_signal,123447.0,74897.0,353573.0,0.34914147856312555,False
log2,7089,128,0.2,max_visible_signal,283828.0,145152.0,574667.0,0.4938999455336743,False
