circuit,vector_seed,vectors,budget,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
adder,7089,32,0.05,1440.0,1091.0,1440.0,1.0,False,mass_balance
adder,7089,32,0.1,2880.0,2168.0,2880.0,1.0,False,mass_balance
adder,7089,32,0.2,5728.0,4307.0,5728.0,1.0,False,mass_balance
arbiter,7089,32,0.05,9145.0,9069.0,10961.0,0.8343216859775567,False,pdom_dist
arbiter,7089,32,0.1,13432.0,12599.0,14418.0,0.9316132612012762,False,pdom_dist
arbiter,7089,32,0.2,15482.0,15283.0,15669.0,0.988065607249984,False,pdom_dist
bar,7089,32,0.05,4186.0,4186.0,4281.0,0.977808923148797,False,pdom_dist
bar,7089,32,0.1,7436.0,7436.0,7436.0,1.0,False,pdom_dist
bar,7089,32,0.2,9624.0,9620.0,9767.0,0.9853588614723047,False,pdom_dist
cavlc,7089,32,0.05,557.0,557.0,671.0,0.8301043219076006,False,pdom_dist
cavlc,7089,32,0.1,829.0,733.0,921.0,0.9001085776330076,False,pdom_dist
cavlc,7089,32,0.2,1067.0,962.0,1161.0,0.9190353143841516,False,pdom_dist
ctrl,7089,32,0.05,288.0,288.0,288.0,1.0,False,pdom_dist
ctrl,7089,32,0.1,531.0,531.0,544.0,0.9761029411764706,False,pdom_dist
ctrl,7089,32,0.2,855.0,855.0,995.0,0.8592964824120602,False,pdom_dist
dec,7089,32,0.05,96.0,96.0,96.0,1.0,False,index_mid
dec,7089,32,0.1,160.0,160.0,160.0,1.0,False,index_mid
dec,7089,32,0.2,320.0,320.0,320.0,1.0,False,index_mid
div,7089,32,0.05,22627.0,8975.0,32187.0,0.7029856774474167,False,inv_depth
div,7089,32,0.1,28124.0,12680.0,38050.0,0.7391327201051249,False,inv_depth
div,7089,32,0.2,29994.0,21317.0,39221.0,0.7647433772723796,False,inv_depth
hyp,7089,32,0.05,293461.0,188761.0,342752.0,0.8561904817477359,False,index_mid
hyp,7089,32,0.1,582662.0,236309.0,679906.0,0.8569743464537745,False,index_mid
hyp,7089,32,0.2,965315.0,304678.0,1322054.0,0.7301630644436612,False,index_mid
i2c,7089,32,0.05,2176.0,2176.0,2176.0,1.0,False,pdom_dist
i2c,7089,32,0.1,4352.0,4352.0,4352.0,1.0,False,pdom_dist
i2c,7089,32,0.2,6891.0,6891.0,7173.0,0.9606859054788791,False,pdom_dist
int2float,7089,32,0.05,162.0,162.0,185.0,0.8756756756756757,False,pdom_dist
int2float,7089,32,0.1,263.0,263.0,286.0,0.9195804195804196,False,pdom_dist
int2float,7089,32,0.2,373.0,355.0,403.0,0.9255583126550868,False,pdom_dist
log2,7089,32,0.05,33395.0,17138.0,49437.0,0.675506199809859,False,sink_reach_near_pr
log2,7089,32,0.1,55184.0,29719.0,89533.0,0.6163537466632415,False,sink_reach_near_pr
log2,7089,32,0.2,90086.0,49268.0,147438.0,0.6110093734315442,False,sink_reach_near_pr
max,7089,32,0.05,2307.0,2307.0,4174.0,0.5527072352659319,False,pdom_dist
max,7089,32,0.1,4424.0,4340.0,8184.0,0.5405669599217986,False,pdom_dist
max,7089,32,0.2,7093.0,4638.0,14927.0,0.47517920546660414,False,pdom_dist
mem_ctrl,7089,32,0.05,65206.0,65206.0,71831.0,0.9077696259275243,False,pdom_dist
mem_ctrl,7089,32,0.1,97640.0,96959.0,110075.0,0.8870315693845106,False,pdom_dist
mem_ctrl,7089,32,0.2,118343.0,114058.0,128917.0,0.917978234057572,False,pdom_dist
multiplier,7089,32,0.05,27099.0,14805.0,42982.0,0.6304732213484715,False,pdom_dist
multiplier,7089,32,0.1,47036.0,24012.0,82330.0,0.5713105793756832,False,pdom_dist
multiplier,7089,32,0.2,78688.0,39366.0,140063.0,0.5618043309082341,False,pdom_dist
priority,7089,32,0.05,745.0,757.0,1130.0,0.6592920353982301,True,wl3_common_dist
priority,7089,32,0.1,1416.0,1303.0,2073.0,0.683068017366136,False,wl3_common_dist
priority,7089,32,0.2,2634.0,2511.0,3720.0,0.7080645161290322,False,wl3_common_dist
router,7089,32,0.05,191.0,128.0,284.0,0.6725352112676056,False,pdom_dist
router,7089,32,0.1,275.0,233.0,357.0,0.7703081232492998,False,pdom_dist
router,7089,32,0.2,315.0,290.0,370.0,0.8513513513513513,False,pdom_dist
sin,7089,32,0.05,6866.0,4021.0,8640.0,0.794675925925926,False,mass_balance
sin,7089,32,0.1,12962.0,7378.0,17279.0,0.7501591527287459,False,mass_balance
sin,7089,32,0.2,23326.0,14201.0,32906.0,0.7088676837050993,False,mass_balance
sqrt,7089,32,0.05,1648.0,446.0,4078.0,0.4041196665031878,False,role_depth_resonance_idx_inv_dist
sqrt,7089,32,0.1,3850.0,957.0,5306.0,0.7255936675461742,False,role_depth_resonance_idx_inv_dist
sqrt,7089,32,0.2,5584.0,2111.0,7673.0,0.7277466440766324,False,role_depth_resonance_idx_inv_dist
square,7089,32,0.05,25486.0,22680.0,29376.0,0.8675789760348583,False,mass_balance
square,7089,32,0.1,48937.0,43206.0,58752.0,0.8329418572984749,False,mass_balance
square,7089,32,0.2,95399.0,81828.0,117504.0,0.8118787445533769,False,mass_balance
voter,7089,32,0.05,4462.0,3815.0,8939.0,0.4991609799753887,False,index_mid
voter,7089,32,0.1,9120.0,8034.0,16035.0,0.568755846585594,False,index_mid
voter,7089,32,0.2,17795.0,16730.0,27672.0,0.6430688060132986,False,index_mid
