method,circuits,macro_ideal_ratio,node_weighted_ideal_ratio,loss_rows,random_failures,ge_075_circuits,eligible_nodes
centrality_only,20,0.4300348133577396,0.3543341305395791,38,15,3,461734
cone_centrality_proxy,20,0.5646749761375724,0.42188518614729875,35,8,4,461734
equal_rank_fusion_static_cache_gnn,20,0.610273240285104,0.4313757696557763,32,6,4,461734
max_visible_signal,20,0.5206166302873906,0.4643349179425243,34,10,5,461734
observability_cone_proxy,20,0.7183043096482145,0.4810823549879222,17,5,10,461734
rrf_static_cache_gnn,20,0.6107394861489881,0.48772594563999977,33,6,4,461734
scoap_proxy,20,0.738807094364821,0.5015687541035022,7,4,11,461734
structural_borda_no_gnn,20,0.6173277367039897,0.4202074091696186,31,8,6,461734
